team_market,team_name,team_id,total_games_played,total_minutes_played,total_field_goals_made,total_field_goals_att,total_field_goals_pct,total_two_points_made,total_two_points_att,total_two_points_pct,total_three_points_made,total_three_points_att,total_three_points_pct,total_blocked_att,total_free_throws_made,total_free_throws_att,total_free_throws_pct,total_offensive_rebounds,total_defensive_rebounds,total_rebounds,total_assists,total_turnovers,total_assists_turnover_ratio,total_steals,total_blocks,total_personal_fouls,total_tech_fouls,total_points,total_fast_break_pts,total_flagrant_fouls,total_points_off_turnovers,total_second_chance_pts,total_ejections,total_foulouts,total_points_in_paint,total_efficiency,total_true_shooting_att,total_true_shooting_pct,average_fast_break_pts,average_points_off_turnovers,average_second_chance_pts,average_minutes,average_points,average_off_rebounds,average_def_rebounds,average_rebounds,average_assists,average_steals,average_blocks,average_turnovers,average_personal_fouls,average_flagrant_fouls,average_blocked_att,average_field_goals_made,average_field_goals_att,average_three_points_made,average_three_points_att,average_free_throws_made,average_free_throws_att,average_two_points_made,average_two_points_att,average_points_in_paint,average_efficiency,average_true_shooting_att
Utah,Utes,0d037a5d-827a-44dd-8b70-57603d671d5d,35,7050.0,876,1903,1033,554,7050.0,0.536,322,870,0.37,97,497,655,0.759,232,841,1073,532,414,1.29,180,115,569,11,2571,132,1,436,267,0,10,964,2872,2191.2,0.587,3.77,12.46,7.63,201.4,73.5,6.63,24.03,30.66,15.2,5.14,3.29,11.83,16.26,0.03,2.77,25.03,54.37,9.2,24.86,14.2,18.71,15.83,29.51,27.54,82.06,62.61
Oregon,Ducks,1da70895-f77f-44ef-b216-d63c02e696eb,36,7300.0,986,2155,1247,662,7300.0,0.531,324,908,0.357,105,521,683,0.763,319,846,1165,556,434,1.28,248,152,712,5,2817,334,2,552,388,0,17,1171,3173,2455.52,0.574,9.28,15.33,10.78,202.8,78.3,8.86,23.5,32.36,15.4,6.89,4.22,12.06,19.78,0.06,2.92,27.39,59.86,9.0,25.22,14.47,18.97,18.39,34.64,32.53,88.14,68.21
Washington State,Cougars,2d4f0015-adb4-4877-8c15-4a6eed7eed03,31,6250.0,801,1795,890,460,6250.0,0.517,341,905,0.377,79,327,444,0.736,210,698,908,450,421,1.07,164,71,532,3,2270,110,2,382,274,0,13,740,2331,1990.36,0.57,3.55,12.32,8.84,201.6,73.2,6.77,22.52,29.29,14.5,5.29,2.29,13.58,17.16,0.06,2.55,25.84,57.9,11.0,29.19,10.55,14.32,14.84,28.71,23.87,75.19,64.21
Utah,Utes,0d037a5d-827a-44dd-8b70-57603d671d5d,35,7050.0,876,1903,1033,554,7050.0,0.536,322,870,0.37,97,497,655,0.759,232,841,1073,532,414,1.29,180,115,569,11,2571,132,1,436,267,0,10,964,2872,2191.2,0.587,3.77,12.46,7.63,201.4,73.5,6.63,24.03,30.66,15.2,5.14,3.29,11.83,16.26,0.03,2.77,25.03,54.37,9.2,24.86,14.2,18.71,15.83,29.51,27.54,82.06,62.61
Oregon,Ducks,1da70895-f77f-44ef-b216-d63c02e696eb,36,7300.0,986,2155,1247,662,7300.0,0.531,324,908,0.357,105,521,683,0.763,319,846,1165,556,434,1.28,248,152,712,5,2817,334,2,552,388,0,17,1171,3173,2455.52,0.574,9.28,15.33,10.78,202.8,78.3,8.86,23.5,32.36,15.4,6.89,4.22,12.06,19.78,0.06,2.92,27.39,59.86,9.0,25.22,14.47,18.97,18.39,34.64,32.53,88.14,68.21
Washington State,Cougars,2d4f0015-adb4-4877-8c15-4a6eed7eed03,31,6250.0,801,1795,890,460,6250.0,0.517,341,905,0.377,79,327,444,0.736,210,698,908,450,421,1.07,164,71,532,3,2270,110,2,382,274,0,13,740,2331,1990.36,0.57,3.55,12.32,8.84,201.6,73.2,6.77,22.52,29.29,14.5,5.29,2.29,13.58,17.16,0.06,2.55,25.84,57.9,11.0,29.19,10.55,14.32,14.84,28.71,23.87,75.19,64.21
USC,Trojans,3a000455-de7c-4ca8-880e-abdce7f21da9,36,7300.0,1022,2174,1386,726,7300.0,0.524,296,788,0.376,105,458,649,0.706,323,841,1164,569,383,1.49,228,146,569,18,2798,257,2,549,405,0,8,1266,3179,2459.56,0.569,7.14,15.25,11.25,202.8,77.7,8.97,23.36,32.33,15.8,6.33,4.06,10.64,15.81,0.06,2.92,28.39,60.39,8.22,21.89,12.72,18.03,20.17,38.5,35.17,88.31,68.32
Oregon State,Beavers,532d3874-b4b3-4c5c-acc6-749a6db26c8f,32,6500.0,830,1779,1196,638,6500.0,0.533,192,583,0.329,98,487,688,0.708,288,741,1029,475,424,1.12,213,116,642,7,2339,215,2,438,365,0,12,1131,2598,2081.72,0.562,6.72,13.69,11.41,203.1,73.1,9.0,23.16,32.16,14.8,6.66,3.63,13.25,20.06,0.06,3.06,25.94,55.59,6.0,18.22,15.22,21.5,19.94,37.38,35.34,81.19,65.05
Stanford,Cardinal,683ab61f-546f-44da-b085-c3a5740554aa,35,7050.0,925,2007,1375,692,7050.0,0.503,233,632,0.369,138,572,835,0.685,332,910,1242,469,525,0.89,183,122,633,2,2653,148,2,461,427,0,21,1218,2799,2374.4,0.559,4.23,13.17,12.2,201.4,75.8,9.49,26.0,35.49,13.4,5.23,3.49,15.0,18.09,0.06,3.94,26.43,57.34,6.66,18.06,16.34,23.86,19.77,39.29,34.8,79.97,67.84
Arizona,Wildcats,9b166a3f-e64b-4825-bb6b-92c6f0418263,35,7100.0,1009,2003,1361,772,7100.0,0.567,237,642,0.369,92,563,741,0.76,316,892,1208,531,427,1.24,173,158,608,11,2818,247,0,441,414,0,13,1176,3289,2329.04,0.605,7.06,12.6,11.83,202.9,80.5,9.03,25.49,34.51,15.2,4.94,4.51,12.2,17.37,0.0,2.63,28.83,57.23,6.77,18.34,16.09,21.17,22.06,38.89,33.6,93.97,66.54
Colorado,Buffaloes,9fccbf28-2858-4263-821c-fdefb3c7efa3,32,6475.0,810,1839,1167,569,6475.0,0.488,241,672,0.359,122,446,612,0.729,268,832,1100,409,453,0.9,140,122,621,6,2307,215,0,362,336,0,15,922,2430,2108.28,0.547,6.72,11.31,10.5,202.3,72.1,8.38,26.0,34.38,12.8,4.38,3.81,14.16,19.41,0.0,3.81,25.31,57.47,7.53,21.0,13.94,19.13,17.78,36.47,28.81,75.94,65.88
California,Golden Bears,aacdc78d-b7fa-48f6-9686-2fdb8a95030e,32,6425.0,767,1887,1369,619,6425.0,0.452,148,518,0.286,114,484,717,0.675,364,681,1045,313,470,0.67,220,154,648,9,2166,214,2,466,424,0,22,1085,2075,2202.48,0.492,6.69,14.56,13.25,200.8,67.7,11.38,21.28,32.66,9.8,6.88,4.81,14.69,20.25,0.06,3.56,23.97,58.97,4.63,16.19,15.13,22.41,19.34,42.78,33.91,64.84,68.83
Arizona State,Sun Devils,ad4bc983-8d2e-4e6f-a8f9-80840a786c64,32,6450.0,888,1920,1127,600,6450.0,0.532,288,793,0.363,96,581,793,0.733,266,761,1027,459,343,1.34,209,114,605,13,2645,287,1,581,318,0,17,1036,2867,2268.92,0.583,8.97,18.16,9.94,201.6,82.7,8.31,23.78,32.09,14.3,6.53,3.56,10.72,18.91,0.03,3.0,27.75,60.0,9.0,24.78,18.16,24.78,18.75,35.22,32.38,89.59,70.9
Washington,Huskies,e52c9644-717a-46f4-bf16-aeca000b3b44,34,6875.0,900,1963,1299,670,6875.0,0.516,230,664,0.346,110,505,720,0.701,289,735,1024,398,453,0.88,274,177,641,7,2535,271,0,558,361,0,20,1164,2677,2279.8,0.556,7.97,16.41,10.62,202.2,74.6,8.5,21.62,30.12,11.7,8.06,5.21,13.32,18.85,0.0,3.24,26.47,57.74,6.76,19.53,14.85,21.18,19.71,38.21,34.24,78.74,67.05
UCLA,Bruins,ec0d6b67-4b16-4b50-92b2-1a651dae6b0f,33,6750.0,927,2014,1201,617,6750.0,0.514,310,813,0.381,82,515,715,0.72,304,904,1208,495,399,1.24,184,131,592,6,2679,225,4,375,366,0,14,988,3011,2328.6,0.575,6.82,11.36,11.09,204.5,81.2,9.21,27.39,36.61,15.0,5.58,3.97,12.09,17.94,0.12,2.48,28.09,61.03,9.39,24.64,15.61,21.67,18.7,36.39,29.94,91.24,70.56
Jacksonville State,Gamecocks,13358462-e05b-4449-8688-90c4622cdde8,36,7250.0,954,2091,1441,743,7250.0,0.516,211,650,0.325,5,468,657,0.712,370,908,1278,542,469,1.16,220,176,624,12,2587,211,0,549,392,0,2,1192,3008,2380.08,0.543,5.86,15.25,10.89,201.4,71.9,10.28,25.22,35.5,15.1,6.11,4.89,13.03,17.33,0.0,0.14,26.5,58.08,5.86,18.06,13.0,18.25,20.64,40.03,33.11,83.56,66.11
Eastern Illinois,Panthers,23fec4e7-108f-4569-85d1-bef2f794e925,31,6225.0,732,1726,1099,508,6225.0,0.462,224,627,0.357,15,377,551,0.684,292,697,989,392,417,0.94,182,138,509,4,2065,128,0,407,306,0,3,778,2181,1968.44,0.525,4.13,13.13,9.87,200.8,66.6,9.42,22.48,31.9,12.6,5.87,4.45,13.45,16.42,0.0,0.48,23.61,55.68,7.23,20.23,12.16,17.77,16.39,35.45,25.1,70.35,63.5
Southeast Missouri State,Redhawks,6a7083ab-1832-48c0-9168-427b35adbcde,31,6250.0,796,1729,991,507,6250.0,0.512,289,738,0.392,6,474,650,0.729,235,668,903,423,388,1.09,178,54,553,6,2355,143,0,458,279,0,0,860,2416,2015.0,0.584,4.61,14.77,9.0,201.6,76.0,7.58,21.55,29.13,13.6,5.74,1.74,12.52,17.84,0.0,0.19,25.68,55.77,9.32,23.81,15.29,20.97,16.35,31.97,27.74,77.94,65.0
Murray State,Racers,77a69fb0-1355-4342-ac09-b4cc7949d95e,32,6400.0,870,1803,1084,599,6400.0,0.553,271,719,0.377,19,504,687,0.734,296,798,1094,471,384,1.23,216,104,559,9,2515,256,0,459,370,0,1,1052,2900,2105.28,0.597,8.0,14.34,11.56,200.0,78.6,9.25,24.94,34.19,14.7,6.75,3.25,12.0,17.47,0.0,0.59,27.19,56.34,8.47,22.47,15.75,21.47,18.72,33.88,32.88,90.63,65.79
Tennessee State,Tigers,87721c44-53a2-47aa-9b3a-0f1c99b0f328,30,6100.0,669,1574,909,446,6100.0,0.491,223,665,0.335,25,436,590,0.739,213,681,894,326,442,0.74,215,86,564,10,1997,127,0,484,265,0,3,761,2017,1833.6,0.545,4.23,16.13,8.83,203.3,66.6,7.1,22.7,29.8,10.9,7.17,2.87,14.73,18.8,0.0,0.83,22.3,52.47,7.43,22.17,14.53,19.67,14.87,30.3,25.37,67.23,61.12
Tennessee-Martin,Skyhawks,9febd5fa-982f-4f40-ad1d-8e49be96cf4f,31,6275.0,808,1806,1156,598,6275.0,0.517,210,650,0.323,3,309,426,0.725,263,733,996,390,449,0.87,214,105,568,1,2135,267,0,433,280,0,0,999,2276,1993.44,0.536,8.61,13.97,9.03,202.4,68.9,8.48,23.65,32.13,12.6,6.9,3.39,14.48,18.32,0.0,0.1,26.06,58.26,6.77,20.97,9.97,13.74,19.29,37.29,32.23,73.42,64.3
Belmont,Bruins,a0a22502-0d84-440c-84af-1fbb070ad54c,33,6600.0,901,1853,848,523,6600.0,0.617,378,1005,0.376,9,382,517,0.739,217,818,1035,529,410,1.29,161,82,531,0,2562,106,0,431,293,0,3,985,2872,2080.48,0.616,3.21,13.06,8.88,200.0,77.6,6.58,24.79,31.36,16.0,4.88,2.48,12.42,16.09,0.0,0.27,27.3,56.15,11.45,30.45,11.58,15.67,15.85,25.7,29.85,87.03,63.04
Austin Peay,Governors,a0fdb660-a822-4337-b01d-31c4d2c99c8a,34,6850.0,915,2012,1420,713,6850.0,0.502,202,592,0.341,30,480,737,0.651,390,725,1115,452,478,0.95,225,103,670,3,2512,219,0,553,465,0,4,1141,2575,2336.28,0.538,6.44,16.26,13.68,201.5,73.9,11.47,21.32,32.79,13.3,6.62,3.03,14.06,19.71,0.0,0.88,26.91,59.18,5.94,17.41,14.12,21.68,20.97,41.76,33.56,75.74,68.71
Morehead State,Eagles,b7747a03-c85b-4de6-94bf-1b5b68553248,29,5825.0,712,1655,1024,508,5825.0,0.496,204,631,0.323,14,415,592,0.701,304,670,974,344,456,0.75,165,86,598,3,2043,126,0,411,312,0,1,856,2036,1915.48,0.533,4.34,14.17,10.76,200.9,70.4,10.48,23.1,33.59,11.9,5.69,2.97,15.72,20.62,0.0,0.48,24.55,57.07,7.03,21.76,14.31,20.41,17.52,35.31,29.52,70.21,66.05
SIU-Edwardsville,Cougars,c206712f-2298-4279-b76c-834ac42809b9,30,6000.0,734,1759,1105,522,6000.0,0.472,212,654,0.324,15,410,580,0.707,253,644,897,373,409,0.91,144,82,645,2,2090,147,0,413,297,0,4,783,1982,2014.2,0.519,4.9,13.77,9.9,200.0,69.7,8.43,21.47,29.9,12.4,4.8,2.73,13.63,21.5,0.0,0.5,24.47,58.63,7.07,21.8,13.67,19.33,17.4,36.83,26.1,66.07,67.14
