team_id,team_name,rank,total_wins,total_losses,adj_win_perc,str_of_sched,rpi
fae4855b-1b64-4b40-a632-9ed345e1e952,Jayhawks,1,23,8,0.7838,0.6375,0.6741
faeb1160-5d15-4f26-99fc-c441cf21fc7f,Blue Devils,2,26,5,0.8201,0.5984,0.6538
56913910-87f7-4ad7-ae3b-5cd9fb218fd9,Cavaliers,3,28,2,0.9286,0.5615,0.6533
e9ca48b2-00ba-41c0-a02b-6885a2da1ff1,Tar Heels,4,26,5,0.8212,0.5944,0.6511
70e2bedd-3a0a-479c-ac99-e3f58aa6824b,Tigers,5,26,5,0.8138,0.5868,0.6435
b827dbdf-230f-4916-9703-3bb9004e26eb,Volunteers,6,26,4,0.8871,0.5591,0.6411
2267a1f4-68f6-418b-aaf6-2aa0c4b291f1,Wildcats,7,26,5,0.8296,0.5774,0.6405
1f99a164-d593-4d81-85d5-0d7889d6f486,Cougars,8,29,2,0.927,0.543,0.639
2f4d21f8-6d5f-48a5-abca-52a30583871a,Bulldogs,9,30,3,0.9116,0.5463,0.6376
d3c8a767-b6fc-45d4-a5f2-18406f2993f1,Seminoles,10,25,6,0.8168,0.5689,0.6309
a9f5c9a2-342c-4881-9996-5d5c05ec9bd9,Bulls,11,27,3,0.9366,0.5247,0.6277
a41d5a05-4c11-4171-a57e-e7a1ea325a6d,Spartans,12,25,6,0.8222,0.5603,0.6258
12d7f888-675b-459f-9099-a38f771d8a95,Boilermakers,13,23,8,0.776,0.5744,0.6248
bdc2561d-f603-4fab-a262-f1d2af462277,Wolverines,14,26,5,0.8527,0.5479,0.6241
c1c1e6df-a383-4fbd-ba7b-32d4f9ef9518,Rams,15,25,6,0.8195,0.5577,0.6232
f8c705b7-87d3-411a-9c8b-5124daab0469,Red Raiders,16,26,5,0.8372,0.5486,0.6207
62a73b4a-e281-4483-a1f8-f1160a18e456,Wolf Pack,17,28,3,0.9343,0.5148,0.6197
e52c9644-717a-46f4-bf16-aeca000b3b44,Huskies,18,24,7,0.782,0.5571,0.6133
4383eb6a-7fd8-4ff2-94c5-43c933121e88,Wildcats,19,22,9,0.7287,0.5737,0.6125
d203f38a-a166-4258-bca2-e161b591ecfb,Wildcats,20,24,7,0.7852,0.5541,0.6119
324ccccc-575b-4b82-acb0-fbb8e68da13b,Hokies,21,23,7,0.7698,0.5562,0.6096
a1ba4b89-d97c-44e2-835f-79ad3ccaa5ae,Bulldogs,22,22,9,0.6917,0.5792,0.6073
c7569eae-5b93-4197-b204-6f3a62146b25,Badgers,23,22,9,0.7133,0.571,0.6066
9916713f-b243-452b-93ae-a2c3ccabf68b,Terriers,23,26,4,0.8889,0.5124,0.6066
0c0608b3-f349-4f5e-9a10-7e6a744dd0d2,Tigers,25,21,9,0.6967,0.5738,0.6045
2778d005-cc14-4e58-9bf2-3fc37bffb62f,Terrapins,26,22,9,0.6917,0.575,0.6042
a17dfc54-415f-49c3-a2e6-d6fa9db18b0a,Bearcats,27,25,6,0.8045,0.5366,0.6036
7672ff16-8436-47e6-8546-0fb5494ec7ee,Aggies,28,24,6,0.8235,0.5302,0.6035
06f7c904-0ac7-4125-b0f4-f4871bb69057,Golden Eagles,29,23,8,0.7143,0.5597,0.5983
054c3e85-0552-4549-b123-7e84af6e7b6c,Knights,30,23,7,0.7661,0.5396,0.5962
b795ddbc-baab-4499-8803-52e8608520ab,Cardinals,31,19,12,0.5789,0.5997,0.5945
5016fe1a-9571-4d10-bf5b-b9c1b496bd57,Aggies,32,25,4,0.8667,0.5036,0.5944
612f7f66-1de1-4d42-b842-9a508daab911,Spartans,33,26,6,0.8421,0.5075,0.5912
b2fda957-e15c-4fb2-8a13-6e58496f561e,Sooners,34,19,12,0.6115,0.5808,0.5885
8598d1b6-106b-4083-a512-2e495729525a,Owls,35,23,8,0.7554,0.5324,0.5881
34dd83ac-64f2-4b73-8577-899b2a46f5cc,Rockets,36,24,6,0.8088,0.5144,0.588
ad4bc983-8d2e-4e6f-a8f9-80840a786c64,Sun Devils,37,21,9,0.6894,0.5476,0.583
18e89867-9201-41ce-ba19-fadddf92fa17,Catamounts,38,25,6,0.8207,0.5002,0.5803
93df9b18-e9fc-42a7-bb45-a736c203b4dc,Huskies,39,23,10,0.7219,0.5311,0.5788
8cd24de1-2be8-4b77-bcfa-47be0495a5f4,Orange,40,19,12,0.5586,0.5852,0.5786
0e4258fa-3154-4c16-b693-adecab184c6c,Cyclones,41,20,11,0.6277,0.5617,0.5782
77a69fb0-1355-4342-ac09-b4cc7949d95e,Racers,42,25,4,0.8815,0.4759,0.5773
2920c5fa-1e86-4958-a7c4-1e97b8e201d8,Wildcats,43,22,8,0.7538,0.5162,0.5756
b18f34af-a7f1-4659-a2e5-fc11a31cd316,Gaels,44,22,11,0.6434,0.5524,0.5751
a0a22502-0d84-440c-84af-1fbb070ad54c,Bruins,45,25,5,0.8562,0.4813,0.575
36ca2008-cd2e-4549-8b3b-c745167e07f3,Pride,46,26,7,0.8188,0.4918,0.5735
4200f37c-86e0-413e-a5c4-e5edf1e272e7,Wolverines,47,20,8,0.7742,0.5054,0.5726
dcf5c2e7-c227-4c20-af26-715d5f859412,Tigers,48,19,12,0.5789,0.566,0.5692
39d00ef7-320d-47cf-a2fa-859bc24d16b4,Anteaters,49,26,5,0.8428,0.4764,0.568
fa416692-7e09-4f0a-9bcf-0cf7d5149a14,Golden Gophers,50,19,12,0.6033,0.5554,0.5674
f7fcbb6e-4a55-41ea-ba21-f763ed914467,Horned Frogs,51,19,12,0.5789,0.563,0.567
5c7bf63f-bc39-43c5-9907-73b50b7a6b34,Crimson,51,16,10,0.6724,0.5318,0.567
1551b3a0-6d10-4ffa-8dfa-73b56f004553,Tigers,53,19,12,0.5868,0.56,0.5667
ca478771-aa3d-4231-81e0-b70f519134fb,Bulldogs,54,19,7,0.7623,0.5009,0.5663
d7d668ec-edaa-4d6b-be25-2ebba4128643,Rebels,55,20,11,0.6207,0.5463,0.5649
aef5e386-d8e8-460c-8014-3a2f090fd988,Pirates,56,18,12,0.5873,0.5574,0.5648
