Seed,team_name,team_id,total_games_played,total_wins,total_losses,adj_win_perc,str_of_sched,rpi,total_minutes_played,total_field_goals_made,total_field_goals_att,total_field_goals_pct,total_two_points_made,total_two_points_att,total_two_points_pct,total_three_points_made,total_three_points_att,total_three_points_pct,total_blocked_att,total_free_throws_made,total_free_throws_att,total_free_throws_pct,total_offensive_rebounds,total_defensive_rebounds,total_rebounds,total_assists,total_turnovers,total_assists_turnover_ratio,total_steals,total_blocks,total_personal_fouls,total_tech_fouls,total_points,total_fast_break_pts,total_flagrant_fouls,total_points_off_turnovers,total_second_chance_pts,total_ejections,total_foulouts,total_points_in_paint,total_efficiency,total_true_shooting_att,total_true_shooting_pct,average_fast_break_pts,average_points_off_turnovers,average_second_chance_pts,average_minutes,average_points,average_off_rebounds,average_def_rebounds,average_rebounds,average_assists,average_steals,average_blocks,average_turnovers,average_personal_fouls,average_flagrant_fouls,average_blocked_att,average_field_goals_made,average_field_goals_att,average_three_points_made,average_three_points_att,average_free_throws_made,average_free_throws_att,average_two_points_made,average_two_points_att,average_points_in_paint,average_efficiency,average_true_shooting_att
S12,Oregon Ducks,1da70895-f77f-44ef-b216-d63c02e696eb,31,19,12,0.594,0.5485,0.5598,6225.0,779,1739,1046,543,6225.0,0.519,236,693,0.341,84,376,526,0.715,255,720,975,418,367,1.14,236,125,547,1,2170,300,4,453,331,0,10,916,2447,1970.44,0.551,9.68,14.61,10.68,200.8,70.0,8.23,23.23,31.45,13.5,7.61,4.03,11.84,17.65,0.13,2.71,25.13,56.1,7.61,22.35,12.13,16.97,17.52,33.74,29.55,78.94,63.56
W11,Arizona State Sun Devils,ad4bc983-8d2e-4e6f-a8f9-80840a786c64,30,21,9,0.6894,0.5476,0.583,6075.0,799,1787,1141,581,6075.0,0.509,218,646,0.337,99,516,772,0.668,304,781,1085,411,410,1.0,188,94,601,11,2332,282,6,439,340,0,16,978,2456,2126.68,0.548,9.4,14.63,11.33,202.5,77.7,10.13,26.03,36.17,13.7,6.27,3.13,13.67,20.03,0.2,3.3,26.63,59.57,7.27,21.53,17.2,25.73,19.37,38.03,32.6,81.87,70.89
M9,Washington Huskies,e52c9644-717a-46f4-bf16-aeca000b3b44,31,24,7,0.782,0.5571,0.6133,6225.0,767,1678,1019,538,6225.0,0.528,229,659,0.347,72,419,598,0.701,249,640,889,358,416,0.86,274,181,571,9,2182,332,3,524,301,0,10,948,2378,1941.12,0.562,10.71,16.9,9.71,200.8,70.4,8.03,20.65,28.68,11.5,8.84,5.84,13.42,18.42,0.1,2.32,24.74,54.13,7.39,21.26,13.52,19.29,17.35,32.87,30.58,76.71,62.62
W12,Murray State Racers,77a69fb0-1355-4342-ac09-b4cc7949d95e,31,25,4,0.8815,0.4759,0.5773,6200.0,938,1890,1195,696,6200.0,0.582,242,695,0.348,34,464,629,0.738,304,800,1104,560,373,1.5,235,142,506,6,2582,518,0,570,370,0,3,1262,3133,2166.76,0.596,16.71,18.39,11.94,200.0,83.3,9.81,25.81,35.61,18.1,7.58,4.58,12.03,16.32,0.0,1.1,30.26,60.97,7.81,22.42,14.97,20.29,22.45,38.55,40.71,101.06,69.9
E11,Belmont Bruins,a0a22502-0d84-440c-84af-1fbb070ad54c,31,25,5,0.8562,0.4813,0.575,6250.0,987,1976,1106,662,6250.0,0.599,325,870,0.374,23,411,557,0.738,236,889,1125,616,360,1.71,213,117,481,3,2695,287,0,470,312,0,1,1263,3271,2221.08,0.607,9.26,15.16,10.06,201.6,86.9,7.61,28.68,36.29,19.9,6.87,3.77,11.61,15.52,0.0,0.74,31.84,63.74,10.48,28.06,13.26,17.97,21.35,35.68,40.74,105.52,71.65
E15,Bradley Braves,b47d10b8-a2a5-47df-a2f9-7bd0b9d51beb,34,19,14,0.5686,0.4708,0.4952,6825.0,790,1822,1190,559,6825.0,0.47,231,632,0.366,66,453,654,0.693,281,805,1086,410,430,0.95,183,128,599,11,2264,192,5,455,307,0,8,938,2408,2109.76,0.537,5.65,13.38,9.03,200.7,66.6,8.26,23.68,31.94,12.1,5.38,3.76,12.65,17.62,0.15,1.94,23.24,53.59,6.79,18.59,13.32,19.24,16.44,35.0,27.59,70.82,62.05
M6,Iowa State Cyclones,0e4258fa-3154-4c16-b693-adecab184c6c,31,20,11,0.6277,0.5617,0.5782,6200.0,874,1833,1109,612,6200.0,0.552,262,724,0.362,76,399,548,0.728,255,750,1005,482,342,1.41,219,140,463,5,2409,300,1,473,304,0,7,1006,2805,2074.12,0.581,9.68,15.26,9.81,200.0,77.7,8.23,24.19,32.42,15.5,7.06,4.52,11.03,14.94,0.03,2.45,28.19,59.13,8.45,23.35,12.87,17.68,19.74,35.77,32.45,90.48,66.91
S9,Oklahoma Sooners,b2fda957-e15c-4fb2-8a13-6e58496f561e,31,19,12,0.6115,0.5808,0.5885,6225.0,802,1802,1195,594,6225.0,0.497,208,607,0.343,114,394,573,0.688,238,802,1040,394,382,1.03,184,98,489,3,2206,201,8,424,235,1,8,1001,2361,2054.12,0.537,6.48,13.68,7.58,200.8,71.2,7.68,25.87,33.55,12.7,5.94,3.16,12.32,15.77,0.26,3.68,25.87,58.13,6.71,19.58,12.71,18.48,19.16,38.55,32.29,76.16,66.26
S4,Kansas State Wildcats,d203f38a-a166-4258-bca2-e161b591ecfb,31,24,7,0.7852,0.5541,0.6119,6200.0,736,1693,1052,519,6200.0,0.493,217,641,0.339,86,354,535,0.662,249,705,954,426,358,1.19,233,68,503,4,2043,230,1,532,275,0,9,758,2228,1928.4,0.53,7.42,17.16,8.87,200.0,65.9,8.03,22.74,30.77,13.7,7.52,2.19,11.55,16.23,0.03,2.77,23.74,54.61,7.0,20.68,11.42,17.26,16.74,33.94,24.45,71.87,62.21
W9,Baylor Bears,db6e1cab-3fa3-4a93-a673-8b2a358ff4bf,31,19,12,0.5766,0.555,0.5604,6225.0,791,1795,1072,546,6225.0,0.509,245,723,0.339,128,400,594,0.673,361,717,1078,432,410,1.05,193,147,586,5,2227,172,2,447,435,0,10,946,2469,2056.36,0.541,5.55,14.42,14.03,200.8,71.8,11.65,23.13,34.77,13.9,6.23,4.74,13.23,18.9,0.06,4.13,25.52,57.9,7.9,23.32,12.9,19.16,17.61,34.58,30.52,79.65,66.33
W3,Texas Tech Red Raiders,f8c705b7-87d3-411a-9c8b-5124daab0469,31,26,5,0.8372,0.5486,0.6207,6225.0,811,1718,1105,585,6225.0,0.529,226,613,0.369,76,417,577,0.723,248,745,993,419,381,1.1,221,151,550,2,2265,180,2,544,276,0,9,917,2601,1971.88,0.574,5.81,17.55,8.9,200.8,73.1,8.0,24.03,32.03,13.5,7.13,4.87,12.29,17.74,0.06,2.45,26.16,55.42,7.29,19.77,13.45,18.61,18.87,35.65,29.58,83.9,63.61
