Seed,team_market,team_name,team_id,total_games_played,total_minutes_played,total_field_goals_made,total_field_goals_att,total_field_goals_pct,total_two_points_made,total_two_points_att,total_two_points_pct,total_three_points_made,total_three_points_att,total_three_points_pct,total_blocked_att,total_free_throws_made,total_free_throws_att,total_free_throws_pct,total_offensive_rebounds,total_defensive_rebounds,total_rebounds,total_assists,total_turnovers,total_assists_turnover_ratio,total_steals,total_blocks,total_personal_fouls,total_tech_fouls,total_points,total_fast_break_pts,total_flagrant_fouls,total_points_off_turnovers,total_second_chance_pts,total_ejections,total_foulouts,total_points_in_paint,total_efficiency,total_true_shooting_att,total_true_shooting_pct,average_fast_break_pts,average_points_off_turnovers,average_second_chance_pts,average_minutes,average_points,average_off_rebounds,average_def_rebounds,average_rebounds,average_assists,average_steals,average_blocks,average_turnovers,average_personal_fouls,average_flagrant_fouls,average_blocked_att,average_field_goals_made,average_field_goals_att,average_three_points_made,average_three_points_att,average_free_throws_made,average_free_throws_att,average_two_points_made,average_two_points_att,average_points_in_paint,average_efficiency,average_true_shooting_att
E1,Villanova,Wildcats,4383eb6a-7fd8-4ff2-94c5-43c933121e88,40,8075,1220,2440,1282,756,8075,0.59,464,1158,0.401,108,559,718,0.779,337,997,1334,655,426,1.54,259,162,645,4,3463,363,1,650,417,0,8,1258,4068,2755.92,0.628,9.08,16.25,10.43,201.9,86.6,8.43,24.93,33.35,16.4,6.48,4.05,10.65,16.13,0.03,2.7,30.5,61,11.6,28.95,13.98,17.95,18.9,32.05,31.45,101.7,68.9
E2,Purdue,Boilermakers,12d7f888-675b-459f-9099-a38f771d8a95,37,7425,1033,2097,1257,680,7425,0.541,353,840,0.42,93,555,747,0.743,268,917,1185,598,399,1.5,211,180,580,3,2974,158,0,541,366,0,3,1076,3493,2425.68,0.613,4.27,14.62,9.89,200.7,80.4,7.24,24.78,32.03,16.2,5.7,4.86,10.78,15.68,0,2.51,27.92,56.68,9.54,22.7,15,20.19,18.38,33.97,29.08,94.41,65.56
E3,Texas Tech,Red Raiders,f8c705b7-87d3-411a-9c8b-5124daab0469,37,7450,964,2097,1394,712,7450,0.511,252,703,0.358,129,579,823,0.704,351,864,1215,510,456,1.12,262,153,669,2,2759,216,0,664,411,0,8,1140,3066,2459.12,0.561,5.84,17.95,11.11,201.4,74.6,9.49,23.35,32.84,13.8,7.08,4.14,12.32,18.08,0,3.49,26.05,56.68,6.81,19,15.65,22.24,19.24,37.68,30.81,82.86,66.46
E4,Wichita State,Shockers,f38b58de-3273-4723-a78b-2f918e9aa2d5,33,6650,957,2009,1222,657,6650,0.538,300,787,0.381,111,517,700,0.739,341,878,1219,610,385,1.58,154,127,582,3,2731,147,2,450,456,0,5,1064,3221,2317,0.589,4.45,13.64,13.82,201.5,82.8,10.33,26.61,36.94,18.5,4.67,3.85,11.67,17.64,0.06,3.36,29,60.88,9.09,23.85,15.67,21.21,19.91,37.03,32.24,97.61,70.21
M1,Kansas,Jayhawks,fae4855b-1b64-4b40-a632-9ed345e1e952,39,7825,1165,2366,1392,774,7825,0.556,391,974,0.401,138,453,640,0.708,334,953,1287,649,457,1.42,254,160,598,4,3174,382,0,596,407,0,11,1380,3679,2647.6,0.599,9.79,15.28,10.44,200.6,81.4,8.56,24.44,33,16.6,6.51,4.1,11.72,15.33,0,3.54,29.87,60.67,10.03,24.97,11.62,16.41,19.85,35.69,35.38,94.33,67.89
M2,Duke,Blue Devils,faeb1160-5d15-4f26-99fc-c441cf21fc7f,37,7450,1125,2288,1457,816,7450,0.56,309,831,0.372,96,562,791,0.71,440,982,1422,648,459,1.41,275,185,575,4,3121,359,4,596,579,0,14,1478,3800,2636.04,0.592,9.7,16.11,15.65,201.4,84.4,11.89,26.54,38.43,17.5,7.43,5,12.41,15.54,0.11,2.59,30.41,61.84,8.35,22.46,15.19,21.38,22.05,39.38,39.95,102.7,71.24
M3,Michigan State,Spartans,a41d5a05-4c11-4171-a57e-e7a1ea325a6d,35,7025,991,1996,1271,701,7025,0.552,290,725,0.4,89,535,716,0.747,365,989,1354,670,459,1.46,143,251,641,8,2807,275,1,378,452,0,14,1136,3580,2311.04,0.607,7.86,10.8,12.91,200.7,80.2,10.43,28.26,38.69,19.1,4.09,7.17,13.11,18.31,0.03,2.54,28.31,57.03,8.29,20.71,15.29,20.46,20.03,36.31,32.46,102.29,66.03
M4,Auburn,Tigers,0c0608b3-f349-4f5e-9a10-7e6a744dd0d2,34,6800,906,2102,1194,582,6800,0.487,324,908,0.357,98,647,836,0.774,361,826,1187,481,410,1.17,252,180,674,16,2783,310,0,584,464,0,11,1018,3088,2469.84,0.563,9.12,17.18,13.65,200,81.9,10.62,24.29,34.91,14.1,7.41,5.29,12.06,19.82,0,2.88,26.65,61.82,9.53,26.71,19.03,24.59,17.12,35.12,29.94,90.82,72.64
S1,Virginia,Cavaliers,56913910-87f7-4ad7-ae3b-5cd9fb218fd9,34,6825,848,1844,1199,601,6825,0.501,247,645,0.383,87,340,451,0.754,237,768,1005,458,291,1.57,232,124,480,2,2283,146,2,501,289,0,5,906,2704,2042.44,0.559,4.29,14.74,8.5,200.7,67.1,6.97,22.59,29.56,13.5,6.82,3.65,8.56,14.12,0.06,2.56,24.94,54.24,7.26,18.97,10,13.26,17.68,35.26,26.65,79.53,60.07
S2,Cincinnati,Bearcats,a17dfc54-415f-49c3-a2e6-d6fa9db18b0a,36,7200,944,2100,1358,682,7200,0.502,262,742,0.353,105,523,756,0.692,424,865,1289,570,404,1.41,256,194,564,7,2673,272,0,659,536,0,2,1119,3189,2432.64,0.549,7.56,18.31,14.89,200,74.3,11.78,24.03,35.81,15.8,7.11,5.39,11.22,15.67,0,2.92,26.22,58.33,7.28,20.61,14.53,21,18.94,37.72,31.08,88.58,67.57
