Team,Conference,Current coach,DOB,Month,Day,Year,Since,M_D_DOB,Sign,Chinese Zodiac,Age,team_market,team_name,team_id
ABILENE CHRISTIAN WILDCATS,Southland Conference,Joe Golding,10/15/1975,10,15,1975,2011–12,1015,Libra,Rabbit,44,Abilene Christian,Wildcats,a52b2ece-1f87-45b5-ae1e-8d0920479965
AIR FORCE FALCONS,Mountain West Conference,Dave Pilipovich,1/28/1964,1,28,1964,2012–13,128,Aquarius,Dragon,55,Air Force,Falcons,aa7af640-5762-4686-9181-39f7b8a8186e
AKRON ZIPS,Mid-American Conference,John Groce,9/7/1971,9,7,1971,2017–18,907,Virgo,Pig,48,Akron,Zips,56fe0ab2-e4f0-47b9-8726-9ce23ebcde20
ALABAMA CRIMSON TIDE,Southeastern Conference,Avery Johnson,3/25/1965,3,25,1965,2015–16,325,Aries,Snake,54,Alabama,Crimson Tide,c2104cdc-c83d-40d2-a3cd-df986e29f5d3
ALABAMA A&M BULLDOGS,Southwestern Athletic Conference,Dylan Howard,1/19/1982,1,19,1982,2018–19,119,Capricorn,Dog,37,Alabama A&M,Bulldogs,949c3398-85e4-4c63-ba71-9a82e06ddea4
ALABAMA STATE HORNETS,Southwestern Athletic Conference,Lewis Jackson,8/13/1962,8,13,1962,2005–06,813,Leo,Tiger,57,Alabama State,Hornets,267d417a-8f85-4c87-a15a-068c089a74c6
ALBANY GREAT DANES,America East Conference,Will Brown,10/8/1971,10,8,1971,2001–02,1008,Libra,Pig,48,Albany,Great Danes,290a5130-836d-45e6-824f-28704d6ba246
ALCORN STATE BRAVES,Southwestern Athletic Conference,Montez Robinson,1/17/1943,1,17,1943,2015–16,117,Capricorn,Goat,76,Alcorn State,Braves,1bddc811-44cf-4e53-b4ab-11c8dc82c9de
AMERICAN EAGLES,Patriot League,Mike Brennan,5/18/1972,5,18,1972,2013–14,518,Taurus,Rat,47,American University,Eagles,2f513e67-f019-4eec-9096-fbc5911858b6
APPALACHIAN STATE MOUNTAINEERS,Sun Belt Conference,Jim Fox,10/2/1973,10,2,1973,2014–15,1002,Libra,Ox,46,Appalachian State,Mountaineers,87d88c93-29bc-4306-b0a6-87c6f6e80da1
ARIZONA WILDCATS,Pac-12 Conference,Sean Miller,11/17/1968,11,17,1968,2009–10,1117,Scorpio,Monkey,51,Arizona,Wildcats,9b166a3f-e64b-4825-bb6b-92c6f0418263
