Team Start,Team Name,ID for API
S1,VIRGINIA CAVALIERS,56913910-87f7-4ad7-ae3b-5cd9fb218fd9
S2,UMBC RETRIEVERS,32755362-6336-4dd3-ac34-6f72a6cc150b
S3,CREIGHTON BLUEJAYS,7d797407-623e-476d-b299-46de4275414d
S4,KANSAS STATE WILDCATS,d203f38a-a166-4258-bca2-e161b591ecfb
S5,KENTUCKY WILDCATS,2267a1f4-68f6-418b-aaf6-2aa0c4b291f1
S6,DAVIDSON WILDCATS,2920c5fa-1e86-4958-a7c4-1e97b8e201d8
S7,ARIZONA WILDCATS,9b166a3f-e64b-4825-bb6b-92c6f0418263
S8,BUFFALO BULLS,a9f5c9a2-342c-4881-9996-5d5c05ec9bd9
S9,MIAMI HURRICANES,7aec5187-cb1b-45e5-8f7d-406d766cdc73
S10,LOYOLA-CHICAGO RAMBLERS,61a3908a-7492-4b6f-809e-12c61976bb0a
S11,TENNESSEE VOLUNTEERS,b827dbdf-230f-4916-9703-3bb9004e26eb
S12,WRIGHT STATE RAIDERS,9c396fa7-c165-4599-8542-158bd0d9a199
S13,NEVADA WOLF PACK,62a73b4a-e281-4483-a1f8-f1160a18e456
S14,TEXAS LONGHORNS,6ed15092-2670-450a-99c2-61d861e87644
S15,CINCINNATI BEARCATS,a17dfc54-415f-49c3-a2e6-d6fa9db18b0a
S16,GEORGIA STATE PANTHERS,94ea835b-8ce9-4de2-a5b1-971548fea974
W1,XAVIER MUSKETEERS,0d8a328f-20ce-410b-bed1-15fc01308aaf
W2,TEXAS SOUTHERN TIGERS,eb157f98-0697-459c-9293-ddb162ceb28b
W3,MISSOURI TIGERS,77ca152a-cb2f-48a5-97b2-492351250d94
W4,FLORIDA STATE SEMINOLES,d3c8a767-b6fc-45d4-a5f2-18406f2993f1
W5,OHIO STATE BUCKEYES,857462b3-0ab6-4d26-9669-10ca354e382b
W6,SOUTH DAKOTA STATE JACKRABBITS,6ef40534-5fad-4755-84de-7dcbd645d1f0
W7,GONZAGA BULLDOGS,2f4d21f8-6d5f-48a5-abca-52a30583871a
W8,UNC GREENSBORO SPARTANS,612f7f66-1de1-4d42-b842-9a508daab911
W9,HOUSTON COUGARS,1f99a164-d593-4d81-85d5-0d7889d6f486
W10,SAN DIEGO STATE AZTECS,e6914f16-ca37-4d2e-ba26-a425910283e2
W11,MICHIGAN WOLVERINES,bdc2561d-f603-4fab-a262-f1d2af462277
W12,MONTANA GRIZZLIES,e3848467-66c0-41e5-8283-02e3586d8601
W13,TEXAS A&M AGGIES,ef184799-d79b-49d9-a662-991eaf4044cd
W14,PROVIDENCE FRIARS,7d3b9c72-cbdd-4b64-9aa3-a5bde9b75fdc
W15,NORTH CAROLINA TAR HEELS,e9ca48b2-00ba-41c0-a02b-6885a2da1ff1
