ID,SCHOOL NAME,TEAM NAME,Mascot_Type
bd51da86-e24d-4aab-9ad1-4c7c726d7ba7,Mount Union,1846,Number
8ddbfca9-a931-4908-aa31-9fcd17624b5f,Charlotte,49ers,Number
11a617d5-af03-4cce-bc8a-51114d9e41fe,Long Beach State,49ers,Number
52f29fae-29af-46ec-9882-5b731ac91515,Cameron,Aggies,Nonsense
c6a81263-baf3-4a3b-927e-e02b9d4d262f,Delaware Valley,Aggies,Nonsense
5016fe1a-9571-4d10-bf5b-b9c1b496bd57,New Mexico State,Aggies,Nonsense
53aaac6a-796e-41a6-a04e-6ce74c5717f8,North Carolina A&T,Aggies,Nonsense
11a56ea8-4441-43df-ad03-7bbdaae8387f,Oklahoma Panhandle State,Aggies,Nonsense
ef184799-d79b-49d9-a662-991eaf4044cd,Texas A&M,Aggies,Nonsense
8aaad1c0-d16e-4b9f-8541-dac670addd71,UC Davis,Aggies,Nonsense
7672ff16-8436-47e6-8546-0fb5494ec7ee,Utah State,Aggies,Nonsense
204410bf-b272-41ea-893c-55380c48cee7,Oakwood University,Ambassadors,Occupation
91bba792-47b0-45aa-8225-a6020e3d673b,Anna Maria,AMCats,Cat
052f4c18-817e-4d0c-ae69-ec2ff6122f7a,Rhode Island College,Anchormen,Occupation
39d00ef7-320d-47cf-a2fa-859bc24d16b4,UC Irvine,Anteaters,Mammal
f7e6acc3-0778-4de5-940a-d88e20df1159,Grand Canyon,Antelopes,Mammal
da6c10c8-ee93-4f0d-b0ed-e5e4bafe5e41,Notre Dame de Namur,Argonauts,Hero
c700a775-1d6e-4edf-846c-442c28f9aad1,University of Providence,Argonauts,Hero
7687d8c9-5852-4c61-a31b-45e562c11f6f,West Florida,Argonauts,Hero
cbd39e04-5eb0-4a42-a1d3-2e9224a48285,Ursuline,Arrows,Weapon
d3d51824-81e4-4e9e-a172-c6a763a087a7,Augsburg,Auggies,Nonsense
e6914f16-ca37-4d2e-ba26-a425910283e2,San Diego State,Aztecs,Race
4ec343cd-ec96-4714-9c7b-0ead6407a9f0,Johnson State,Badgers,Mammal
b18e8297-dd3e-4035-b6d7-eb0a44bd40aa,Spring Hill,Badgers,Mammal
c7569eae-5b93-4197-b204-6f3a62146b25,Wisconsin,Badgers,Mammal
a74c5e28-bd21-4b6e-b838-2dc40be3ed90,Lock Haven,Bald Eagles,Raptor
