Team,Conference,Current coach,DOB,Month,Day,Year,Since,M_D_DOB,Sign,Chinese Zodiac,Age
Alcorn State Braves,Southwestern Athletic Conference,Montez Robinson,1/17/1943,1,17,1943,2015–16,117,Capricorn,Goat,76
Syracuse Orange,Atlantic Coast Conference,Jim Boeheim,11/17/1944,11,17,1944,1976–77,1117,Scorpio,Monkey,75
Coastal Carolina Chanticleers,Sun Belt Conference,Cliff Ellis,12/5/1945,12,5,1945,2007–08,1205,Sagittarius,Rooster,74
Duke Blue Devils,Atlantic Coast Conference,Mike Krzyzewski,2/13/1947,2,13,1947,1980–81,213,Aquarius,Pig,72
Marshall Thundering Herd,Conference USA,Dan D'Antoni,7/9/1947,7,9,1947,2014–15,709,Cancer,Pig,72
Florida State Seminoles,Atlantic Coast Conference,Leonard Hamilton,8/4/1948,8,4,1948,2002–03,804,Leo,Rat,71
Lafayette Leopards,Patriot League,Fran O'Hanlon,8/24/1948,8,24,1948,1995–96,824,Virgo,Rat,71
Temple Owls,American Athletic Conference,Fran Dunphy,10/5/1948,10,5,1948,2006–07,1005,Libra,Rat,71
Idaho State Bengals,Big Sky Conference,Bill Evans,12/31/1948,12,31,1948,2012–13,1231,Capricorn,Rat,71
Miami Hurricanes,Atlantic Coast Conference,Jim Larrañaga,10/2/1949,10,2,1949,2011–12,1002,Libra,Ox,70
Davidson Wildcats,Atlantic 10 Conference,Bob McKillop,7/13/1950,7,13,1950,1989–90,713,Cancer,Tiger,69
North Carolina Tar Heels,Atlantic Coast Conference,Roy Williams,8/1/1950,8,1,1950,2003–04,801,Leo,Tiger,69
High Point Panthers,Big South Conference,Tubby Smith,6/30/1951,6,30,1951,2018–19,630,Cancer,Rabbit,68
Holy Cross Crusaders,Patriot League,Bill Carmody,12/4/1951,12,4,1951,2015–16,1204,Sagittarius,Rabbit,68
Kennesaw State Owls,Atlantic Sun Conference,Al Skinner,6/16/1952,6,16,1952,2015–16,616,Gemini,Dragon,67
Oklahoma Sooners,Big 12 Conference,Lon Kruger,8/19/1952,8,19,1952,2011–12,819,Leo,Dragon,67
Michigan Wolverines,Big Ten Conference,John Beilein,2/5/1953,2,5,1953,2007–08,205,Aquarius,Snake,66
Belmont Bruins,Ohio Valley Conference,Rick Byrd,4/30/1953,4,30,1953,1996–97,430,Taurus,Snake,66
West Virginia Mountaineers,Big 12 Conference,Bob Huggins,9/21/1953,9,21,1953,2007–08,921,Virgo,Snake,66
William & Mary Tribe,Colonial Athletic Association,Tony Shaver,1/28/1954,1,28,1954,2003–04,128,Aquarius,Horse,65
Tulane Green Wave,American Athletic Conference,Mike Dunleavy Sr.,3/21/1954,3,21,1954,2016–17,321,Aries,Horse,65
Florida A&M Rattlers,Mid-Eastern Athletic Conference,Robert McCullum,6/20/1954,6,20,1954,2017–18,620,Gemini,Horse,65
Tennessee Volunteers,Southeastern Conference,Rick Barnes,7/17/1954,7,17,1954,2015–16,717,Cancer,Horse,65
Saint Joseph's Hawks,Atlantic 10 Conference,Phil Martelli,8/31/1954,8,31,1954,1995–96,831,Virgo,Horse,65
