Seed,team_market,team_name,team_id,total_games_played,total_minutes_played,total_field_goals_made,total_field_goals_att,total_field_goals_pct,total_two_points_made,total_two_points_att,total_two_points_pct,total_three_points_made,total_three_points_att,total_three_points_pct,total_blocked_att,total_free_throws_made,total_free_throws_att,total_free_throws_pct,total_offensive_rebounds,total_defensive_rebounds,total_rebounds,total_assists,total_turnovers,total_assists_turnover_ratio,total_steals,total_blocks,total_personal_fouls,total_tech_fouls,total_points,total_fast_break_pts,total_flagrant_fouls,total_points_off_turnovers,total_second_chance_pts,total_ejections,total_foulouts,total_points_in_paint,total_efficiency,total_true_shooting_att,total_true_shooting_pct,average_fast_break_pts,average_points_off_turnovers,average_second_chance_pts,average_minutes,average_points,average_off_rebounds,average_def_rebounds,average_rebounds,average_assists,average_steals,average_blocks,average_turnovers,average_personal_fouls,average_flagrant_fouls,average_blocked_att,average_field_goals_made,average_field_goals_att,average_three_points_made,average_three_points_att,average_free_throws_made,average_free_throws_att,average_two_points_made,average_two_points_att,average_points_in_paint,average_efficiency,average_true_shooting_att,Currentcoach,Month,birth_year,Since,M_D_DOB,Sign,ChineseZodiac,Age,season_year
S4,Arizona,Wildcats,9b166a3f-e64b-4825-bb6b-92c6f0418263,31,6250,771,1804,1127,541,6250,0.48,230,677,0.34,118,432,601,0.719,258,714,972,386,358,1.08,162,67,578,4,2204,328,1,427,283,0,15,936,2231,2068.44,0.533,10.58,13.77,9.13,201.6,71.1,8.32,23.03,31.35,12.5,5.23,2.16,11.55,18.65,0.03,3.81,24.87,58.19,7.42,21.84,13.94,19.39,17.45,36.35,30.19,71.97,66.72,Sean Miller,11,1968,2009–10,1117,Scorpio,Monkey,51,2018
E12,Murray State,Racers,77a69fb0-1355-4342-ac09-b4cc7949d95e,31,6200,938,1890,1195,696,6200,0.582,242,695,0.348,34,464,629,0.738,304,800,1104,560,373,1.5,235,142,506,6,2582,518,0,570,370,0,3,1262,3133,2166.76,0.596,16.71,18.39,11.94,200,83.3,9.81,25.81,35.61,18.1,7.58,4.58,12.03,16.32,0,1.1,30.26,60.97,7.81,22.42,14.97,20.29,22.45,38.55,40.71,101.06,69.9,Matt McMahon,4,1978,2015–16,426,Taurus,Horse,41,2018
S11,Loyola (IL),Ramblers,61a3908a-7492-4b6f-809e-12c61976bb0a,33,6600,805,1632,1083,604,6600,0.558,201,549,0.366,124,359,539,0.666,162,762,924,448,393,1.14,212,73,457,0,2170,158,3,498,197,0,2,1065,2427,1869.16,0.58,4.79,15.09,5.97,200,65.8,4.91,23.09,28,13.6,6.42,2.21,11.91,13.85,0.09,3.76,24.39,49.45,6.09,16.64,10.88,16.33,18.3,32.82,32.27,73.55,56.64,Porter Moser,8,1968,2011–12,824,Virgo,Monkey,51,2018
S10,Texas,Longhorns,6ed15092-2670-450a-99c2-61d861e87644,31,6250,781,1793,1019,517,6250,0.507,264,774,0.341,107,381,534,0.713,281,697,978,397,343,1.16,186,127,521,3,2207,164,1,434,312,0,8,928,2387,2027.96,0.544,5.29,14,10.06,201.6,71.2,9.06,22.48,31.55,12.8,6,4.1,11.06,16.81,0.03,3.45,25.19,57.84,8.52,24.97,12.29,17.23,16.68,32.87,29.94,77,65.42,Shaka Smart,4,1977,2015–16,408,Aries,Snake,42,2018
M10,Oklahoma,Sooners,b2fda957-e15c-4fb2-8a13-6e58496f561e,31,6225,802,1802,1195,594,6225,0.497,208,607,0.343,114,394,573,0.688,238,802,1040,394,382,1.03,184,98,489,3,2206,201,8,424,235,1,8,1001,2361,2054.12,0.537,6.48,13.68,7.58,200.8,71.2,7.68,25.87,33.55,12.7,5.94,3.16,12.32,15.77,0.26,3.68,25.87,58.13,6.71,19.58,12.71,18.48,19.16,38.55,32.29,76.16,66.26,Lon Kruger,8,1952,2011–12,819,Leo,Dragon,67,2018
S9,Kansas State,Wildcats,d203f38a-a166-4258-bca2-e161b591ecfb,31,6200,736,1693,1052,519,6200,0.493,217,641,0.339,86,354,535,0.662,249,705,954,426,358,1.19,233,68,503,4,2043,230,1,532,275,0,9,758,2228,1928.4,0.53,7.42,17.16,8.87,200,65.9,8.03,22.74,30.77,13.7,7.52,2.19,11.55,16.23,0.03,2.77,23.74,54.61,7,20.68,11.42,17.26,16.74,33.94,24.45,71.87,62.21,Bruce Weber,10,1956,2012–13,1019,Libra,Monkey,63,2018
E5,West Virginia,Mountaineers,f770d3a2-221c-49ce-9c7a-680f7417fe9e,31,6300,758,1828,1101,527,6300,0.479,231,727,0.318,114,515,756,0.681,377,717,1094,406,498,0.82,190,108,640,16,2262,181,7,424,465,1,19,853,2251,2160.64,0.523,5.84,13.68,15,203.2,73,12.16,23.13,35.29,13.1,6.13,3.48,16.06,20.65,0.23,3.68,24.45,58.97,7.45,23.45,16.61,24.39,17,35.52,27.52,72.61,69.7,Bob Huggins,9,1953,2007–08,921,Virgo,Snake,66,2018
M6,TCU,Horned Frogs,f7fcbb6e-4a55-41ea-ba21-f763ed914467,31,6300,836,1828,1145,597,6300,0.521,239,683,0.35,118,400,580,0.69,288,746,1034,505,420,1.2,219,136,502,3,2311,271,3,492,307,0,9,1038,2613,2083.2,0.555,8.74,15.87,9.9,203.2,74.5,9.29,24.06,33.35,16.3,7.06,4.39,13.55,16.19,0.1,3.81,26.97,58.97,7.71,22.03,12.9,18.71,19.26,36.94,33.48,84.29,67.2,Jamie Dixon,11,1965,2016–17,1110,Scorpio,Snake,54,2018
E3,Texas Tech,Red Raiders,f8c705b7-87d3-411a-9c8b-5124daab0469,31,6225,811,1718,1105,585,6225,0.529,226,613,0.369,76,417,577,0.723,248,745,993,419,381,1.1,221,151,550,2,2265,180,2,544,276,0,9,917,2601,1971.88,0.574,5.81,17.55,8.9,200.8,73.1,8,24.03,32.03,13.5,7.13,4.87,12.29,17.74,0.06,2.45,26.16,55.42,7.29,19.77,13.45,18.61,18.87,35.65,29.58,83.9,63.61,Chris Beard,2,1973,2016–17,218,Aquarius,Ox,46,2018
M1,Kansas,Jayhawks,fae4855b-1b64-4b40-a632-9ed345e1e952,31,6275,844,1820,1166,612,6275,0.525,232,654,0.355,103,424,610,0.695,282,803,1085,416,415,1,211,116,531,3,2344,265,4,478,334,0,11,1050,2595,2088.4,0.561,8.55,15.42,10.77,202.4,75.6,9.1,25.9,35,13.4,6.81,3.74,13.39,17.13,0.13,3.32,27.23,58.71,7.48,21.1,13.68,19.68,19.74,37.61,33.87,83.71,67.37,Bill Self,12,1962,2003–04,1227,Capricorn,Tiger,57,2018
