team,w_l,wins,losses,win_loss_pct,offensive_opp_pts,offensive_opp_ppg,defensive_opp_pts,defensive_opp_ppg,total_field_goals_made,total_field_goals_att,total_field_goals_pct,total_three_points_made,total_three_points_att,total_three_points_pct,total_free_throws_made,total_free_throw_att,total_free_throw_pct,total_steals,steal_pct,total_assists,total_turnovers,turnover_ratio,total_blocks,total_block_pct,total_rebounds,average_rebounds,total_opp_rebounds,average_opp_rebounds,reb_margin,Seed,team_market,team_name,team_id,total_games_played,total_minutes_played,total_field_goals_made-1,total_field_goals_att-1,total_field_goals_pct-1,total_two_points_made,total_two_points_att,total_two_points_pct,total_three_points_made-1,total_three_points_att-1,total_three_points_pct-1,total_blocked_att,total_free_throws_made-1,total_free_throws_att,total_free_throws_pct,total_offensive_rebounds,total_defensive_rebounds,total_rebounds-1,total_assists-1,total_turnovers-1,total_assists_turnover_ratio,total_steals-1,total_blocks-1,total_personal_fouls,total_tech_fouls,total_points,total_fast_break_pts,total_flagrant_fouls,total_points_off_turnovers,total_second_chance_pts,total_ejections,total_foulouts,total_points_in_paint,total_efficiency,total_true_shooting_att,total_true_shooting_pct,average_fast_break_pts,average_points_off_turnovers,average_second_chance_pts,average_minutes,average_points,average_off_rebounds,average_def_rebounds,average_rebounds-1,average_assists,average_steals,average_blocks,average_turnovers,average_personal_fouls,average_flagrant_fouls,average_blocked_att,average_field_goals_made,average_field_goals_att,average_three_points_made,average_three_points_att,average_free_throws_made,average_free_throws_att,average_two_points_made,average_two_points_att,average_points_in_paint,average_efficiency,average_true_shooting_att,Currentcoach,Month,Year,Sign,ChineseZodiac,Age
Incarnate Word,6-24,6,24,20,1992,66.400000000000006,2274,75.799999999999997,691,1481,46.700000000000003,165,487,33.899999999999999,445,549,81.099999999999994,178,5.9000000000000004,345,487,0.71,51,1.7,822,27.399999999999999,930,31,-3.6000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hofstra,25-6,25,6,80.599999999999994,2613,84.299999999999997,2246,72.5,896,1821,49.200000000000003,281,719,39.100000000000001,540,677,79.799999999999997,202,6.5,447,304,1.47,102,3.2999999999999998,1038,33.5,1006,32.5,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Central Conn. St.,11-20,11,20,35.5,2205,71.099999999999994,2367,76.400000000000006,754,1821,41.399999999999999,201,612,32.799999999999997,496,634,78.200000000000003,172,5.5,353,427,0.83,110,3.5,1108,35.700000000000003,1103,35.600000000000001,0.20000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hampton,15-16,15,16,48.399999999999999,2531,81.599999999999994,2380,76.799999999999997,860,1983,43.399999999999999,263,764,34.399999999999999,548,701,78.200000000000003,194,6.2999999999999998,435,334,1.30,110,3.5,1194,38.5,1184,38.200000000000003,0.29999999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota St.,24-7,24,7,77.400000000000006,2640,85.200000000000003,2267,73.099999999999994,930,1843,50.5,313,756,41.399999999999999,467,598,78.099999999999994,193,6.2000000000000002,466,365,1.28,58,1.8999999999999999,1183,38.200000000000003,1026,33.100000000000001,5.0999999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ole Miss,19-11,19,11,63.299999999999997,2283,76.099999999999994,2122,70.700000000000003,800,1730,46.200000000000003,246,681,36.100000000000001,437,560,78,225,7.5,439,388,1.13,105,3.5,1043,34.799999999999997,968,32.299999999999997,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Dakota St.,15-15,15,15,50,2181,72.700000000000003,2173,72.400000000000006,751,1667,45.100000000000001,281,791,35.5,398,512,77.700000000000003,149,5,351,331,1.06,69,2.2999999999999998,954,31.800000000000001,988,32.899999999999999,-1.1000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
La.-Monroe,15-14,15,14,51.700000000000003,2269,78.200000000000003,2179,75.099999999999994,753,1665,45.200000000000003,284,720,39.399999999999999,479,619,77.400000000000006,171,5.9000000000000004,394,326,1.21,60,2.1000000000000001,961,33.100000000000001,999,34.399999999999999,-1.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Louisville,19-11,19,11,63.299999999999997,2247,74.900000000000006,2029,67.599999999999994,752,1720,43.700000000000003,256,744,34.399999999999999,487,630,77.299999999999997,141,4.7000000000000002,403,382,1.05,87,2.8999999999999999,1137,37.899999999999999,1028,34.299999999999997,3.6000000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toledo,25-6,25,6,80.599999999999994,2397,77.299999999999997,2098,67.700000000000003,852,1876,45.399999999999999,302,801,37.700000000000003,391,506,77.299999999999997,160,5.2000000000000002,516,383,1.35,144,4.5999999999999996,1225,39.5,1078,34.799999999999997,4.7000000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
