team,w_l,wins,losses,win_loss_pct,offensive_opp_pts,offensive_opp_ppg,defensive_opp_pts,defensive_opp_ppg,total_field_goals_made,total_field_goals_att,total_field_goals_pct,total_three_points_made,total_three_points_att,total_three_points_pct,total_free_throws_made,total_free_throw_att,total_free_throw_pct,total_steals,steal_pct,total_assists,total_turnovers,turnover_ratio,total_blocks,total_block_pct,total_rebounds,average_rebounds,total_opp_rebounds,average_opp_rebounds,reb_margin
Incarnate Word,24-Jun,6,24,20,1992,66.4,2274,75.8,691,1481,46.7,165,487,33.9,445,549,81.1,178,5.9,345,487,0.71,51,1.7,822,27.4,930,31,-3.6
Hofstra,25-6,25,6,80.6,2613,84.3,2246,72.5,896,1821,49.2,281,719,39.1,540,677,79.8,202,6.5,447,304,1.47,102,3.3,1038,33.5,1006,32.5,1
Central Conn. St.,20-Nov,11,20,35.5,2205,71.1,2367,76.4,754,1821,41.4,201,612,32.8,496,634,78.2,172,5.5,353,427,0.83,110,3.5,1108,35.7,1103,35.6,0.2
Hampton,15-16,15,16,48.4,2531,81.6,2380,76.8,860,1983,43.4,263,764,34.4,548,701,78.2,194,6.3,435,334,1.3,110,3.5,1194,38.5,1184,38.2,0.3
South Dakota St.,24-7,24,7,77.4,2640,85.2,2267,73.1,930,1843,50.5,313,756,41.4,467,598,78.1,193,6.2,466,365,1.28,58,1.9,1183,38.2,1026,33.1,5.1
Ole Miss,19-11,19,11,63.3,2283,76.1,2122,70.7,800,1730,46.2,246,681,36.1,437,560,78,225,7.5,439,388,1.13,105,3.5,1043,34.8,968,32.3,2.5
North Dakota St.,15-15,15,15,50,2181,72.7,2173,72.4,751,1667,45.1,281,791,35.5,398,512,77.7,149,5,351,331,1.06,69,2.3,954,31.8,988,32.9,-1.1
La.-Monroe,15-14,15,14,51.7,2269,78.2,2179,75.1,753,1665,45.2,284,720,39.4,479,619,77.4,171,5.9,394,326,1.21,60,2.1,961,33.1,999,34.4,-1.3
Louisville,19-11,19,11,63.3,2247,74.9,2029,67.6,752,1720,43.7,256,744,34.4,487,630,77.3,141,4.7,403,382,1.05,87,2.9,1137,37.9,1028,34.3,3.6
Toledo,25-6,25,6,80.6,2397,77.3,2098,67.7,852,1876,45.4,302,801,37.7,391,506,77.3,160,5.2,516,383,1.35,144,4.6,1225,39.5,1078,34.8,4.7
Lehigh,20-10,20,10,66.7,2404,80.1,2316,77.2,832,1721,48.3,282,664,42.5,458,594,77.1,164,5.5,461,405,1.14,71,2.4,1078,35.9,1050,35,0.9
Gonzaga,29-2,29,2,93.5,2785,89.8,2013,64.9,1007,1887,53.4,244,664,36.7,527,684,77,233,7.5,569,317,1.79,174,5.6,1211,39.1,1008,32.5,6.5
Liberty,27-6,27,6,81.8,2442,74,1998,60.5,893,1820,49.1,293,796,36.8,363,473,76.7,215,6.5,489,365,1.34,89,2.7,1082,32.8,1008,30.5,2.2
Nicholls St.,13-17,13,17,43.3,2191,73,2239,74.6,784,1857,42.2,313,854,36.7,310,404,76.7,200,6.7,418,378,1.11,124,4.1,1008,33.6,1202,40.1,-6.5
Marquette,23-7,23,7,76.7,2316,77.2,2059,68.6,796,1712,46.5,280,711,39.4,444,579,76.7,148,4.9,409,428,0.96,136,4.5,1130,37.7,991,33,4.6
La Salle,20-Sep,9,20,31,1962,67.7,2110,72.8,677,1685,40.2,241,725,33.2,367,479,76.6,218,7.5,361,413,0.87,89,3.1,985,34,1032,35.6,-1.6
Col. of Charleston,23-8,23,8,74.2,2313,74.6,2134,68.8,823,1710,48.1,213,630,33.8,454,594,76.4,205,6.6,356,328,1.09,70,2.3,1004,32.4,973,31.4,1
Virginia Tech,23-7,23,7,76.7,2234,74.5,1866,62.2,771,1620,47.6,292,733,39.8,400,525,76.2,202,6.7,463,345,1.34,68,2.3,977,32.6,885,29.5,3.1
Tennessee,27-3,27,3,90,2472,82.4,2012,67.1,902,1805,50,201,569,35.3,467,613,76.2,182,6.1,561,335,1.67,165,5.5,1136,37.9,1029,34.3,3.6
Pepperdine,15-17,15,17,46.9,2409,75.3,2357,73.7,808,1827,44.2,290,767,37.8,503,662,76,213,6.7,454,406,1.12,91,2.8,1022,31.9,1128,35.3,-3.3
Denver,22-Aug,8,22,26.7,2086,69.5,2319,77.3,755,1723,43.8,227,622,36.5,349,460,75.9,142,4.7,354,408,0.87,78,2.6,1041,34.7,982,32.7,2
LSU,25-5,25,5,83.3,2451,81.7,2202,73.4,852,1853,46,201,635,31.7,546,720,75.8,280,9.3,390,401,0.97,133,4.4,1162,38.7,1021,34,4.7
Campbell,20-12,20,12,62.5,2426,75.8,2244,70.1,840,1843,45.6,307,892,34.4,439,579,75.8,209,6.5,469,325,1.44,103,3.2,1022,31.9,1107,34.6,-2.7
Drexel,13-18,13,18,41.9,2364,76.3,2402,77.5,850,1841,46.2,232,650,35.7,432,570,75.8,135,4.4,450,361,1.25,60,1.9,1091,35.2,1012,32.6,2.5
Sacred Heart,15-17,15,17,46.9,2558,79.9,2509,78.4,885,1926,46,243,681,35.7,545,722,75.5,170,5.3,471,465,1.01,133,4.2,1231,38.5,1090,34.1,4.4
Drake,24-8,24,8,75,2432,76,2247,70.2,858,1816,47.2,268,732,36.6,448,594,75.4,170,5.3,498,426,1.17,125,3.9,1147,35.8,1077,33.7,2.2
Northeastern,20-10,20,10,66.7,2279,76,2119,70.6,784,1624,48.3,288,747,38.6,423,561,75.4,187,6.2,426,343,1.24,65,2.2,943,31.4,954,31.8,-0.4
UT Martin,19-Dec,12,19,38.7,2356,76,2486,80.2,854,1915,44.6,250,726,34.4,398,528,75.4,223,7.2,441,418,1.06,88,2.8,1062,34.3,1125,36.3,-2
Washington St.,19-Nov,11,19,36.7,2265,75.5,2348,78.3,790,1749,45.2,282,768,36.7,403,535,75.3,160,5.3,448,406,1.1,85,2.8,1012,33.7,1076,35.9,-2.1
Lipscomb,25-6,25,6,80.6,2602,83.9,2135,68.9,903,1870,48.3,274,737,37.2,522,694,75.2,238,7.7,541,416,1.3,85,2.7,1169,37.7,1021,32.9,4.8
Vermont,24-6,24,6,80,2216,73.9,1910,63.7,763,1680,45.4,228,662,34.4,462,617,74.9,167,5.6,352,333,1.06,120,4,1060,35.3,943,31.4,3.9
Virginia,27-2,27,2,93.1,2091,72.1,1569,54.1,750,1557,48.2,244,590,41.4,347,464,74.8,161,5.6,425,268,1.59,113,3.9,1024,35.3,848,29.2,6.1
Iowa,21-9,21,9,70,2357,78.6,2201,73.4,780,1706,45.7,244,674,36.2,553,740,74.7,192,6.4,466,369,1.26,100,3.3,1073,35.8,1034,34.5,1.3
Notre Dame,13-17,13,17,43.3,2082,69.4,2074,69.1,714,1797,39.7,252,796,31.7,402,538,74.7,173,5.8,386,286,1.35,137,4.6,1095,36.5,1172,39.1,-2.6
Louisiana,18-12,18,12,60,2453,81.8,2418,80.6,841,1894,44.4,267,777,34.4,504,675,74.7,216,7.2,445,400,1.11,116,3.9,1064,35.5,1147,38.2,-2.8
UNI,15-17,15,17,46.9,2101,65.7,2115,66.1,725,1736,41.8,262,752,34.8,389,521,74.7,156,4.9,352,374,0.94,70,2.2,1046,32.7,1055,33,-0.3
Utah St.,25-6,25,6,80.6,2450,79,2071,66.8,862,1820,47.4,243,689,35.3,483,647,74.7,195,6.3,534,383,1.39,132,4.3,1240,40,972,31.4,8.6
Weber St.,17-13,17,13,56.7,2410,80.3,2225,74.2,852,1766,48.2,229,625,36.6,477,639,74.6,157,5.2,358,356,1.01,126,4.2,1078,35.9,1095,36.5,-0.6
Milwaukee,22-Sep,9,22,29,2146,69.2,2315,74.7,765,1820,42,237,692,34.2,379,508,74.6,145,4.7,356,382,0.93,94,3,1096,35.4,1125,36.3,-0.9
Charlotte,21-Jul,7,21,25,1698,60.6,1922,68.6,572,1387,41.2,182,588,31,372,499,74.5,135,4.8,280,410,0.68,97,3.5,855,30.5,925,33,-2.5
North Carolina,25-5,25,5,83.3,2605,86.8,2191,73,934,1995,46.8,266,714,37.3,471,632,74.5,222,7.4,582,404,1.44,105,3.5,1301,43.4,996,33.2,10.2
Saint Joseph's,13-18,13,18,41.9,2176,70.2,2241,72.3,741,1821,40.7,267,821,32.5,427,573,74.5,172,5.5,374,289,1.29,102,3.3,1075,34.7,1137,36.7,-2
Davidson,22-8,22,8,73.3,2141,71.4,1944,64.8,755,1664,45.4,286,793,36.1,345,463,74.5,153,5.1,442,334,1.32,69,2.3,1046,34.9,1014,33.8,1.1
Maryland,22-9,22,9,71,2222,71.7,2013,64.9,789,1727,45.7,226,637,35.5,418,561,74.5,135,4.4,410,411,1,147,4.7,1220,39.4,946,30.5,8.8
Pacific,14-18,14,18,43.8,2138,66.8,2241,70,710,1681,42.2,198,566,35,520,698,74.5,199,6.2,325,426,0.76,46,1.4,1040,32.5,992,31,1.5
Hartford,17-14,17,14,54.8,2314,74.6,2247,72.5,796,1746,45.6,302,789,38.3,420,564,74.5,214,6.9,434,379,1.15,64,2.1,985,31.8,1084,35,-3.2
Wagner,13-17,13,17,43.3,1974,65.8,2044,68.1,655,1696,38.6,236,773,30.5,428,575,74.4,184,6.1,351,414,0.85,108,3.6,1095,36.5,1009,33.6,2.9
Loyola Marymount,20-11,20,11,64.5,2094,67.5,1951,62.9,744,1627,45.7,146,460,31.7,460,618,74.4,224,7.2,413,396,1.04,93,3,1005,32.4,906,29.2,3.2
Michigan St.,24-6,24,6,80,2396,79.9,1980,66,850,1737,48.9,251,652,38.5,445,598,74.4,161,5.4,580,389,1.49,165,5.5,1236,41.2,982,32.7,8.5
Bucknell,20-11,20,11,64.5,2357,76,2249,72.5,812,1815,44.7,286,823,34.8,447,601,74.4,164,5.3,481,381,1.26,111,3.6,1096,35.4,1101,35.5,-0.2
Lafayette,20-Oct,10,20,33.3,2209,73.6,2349,78.3,802,1786,44.9,280,736,38,325,437,74.4,158,5.3,419,402,1.04,126,4.2,1001,33.4,1075,35.8,-2.5
Albany (NY),19-Dec,12,19,38.7,2096,67.6,2154,69.5,709,1705,41.6,266,766,34.7,412,554,74.4,193,6.2,394,440,0.9,76,2.5,1057,34.1,1066,34.4,-0.3
Oakland,16-16,16,16,50,2469,77.2,2451,76.6,843,1801,46.8,302,788,38.3,481,647,74.3,186,5.8,561,409,1.37,92,2.9,1018,31.8,1144,35.8,-3.9
Princeton,16-10,16,10,61.5,1812,69.7,1787,68.7,636,1548,41.1,196,632,31,344,463,74.3,162,6.2,277,335,0.83,70,2.7,950,36.5,932,35.8,0.7
Jacksonville St.,24-9,24,9,72.7,2574,78,2283,69.2,953,2062,46.2,200,633,31.6,468,630,74.3,246,7.5,446,439,1.02,136,4.1,1310,39.7,1100,33.3,6.4
Sam Houston St.,20-10,20,10,66.7,2263,75.4,2089,69.6,811,1825,44.4,283,769,36.8,358,482,74.3,228,7.6,498,381,1.31,89,3,1082,36.1,1034,34.5,1.6
Fla. Atlantic,17-13,17,13,56.7,2139,71.3,2042,68.1,746,1807,41.3,266,817,32.6,381,513,74.3,169,5.6,385,444,0.87,85,2.8,1200,40,1064,35.5,4.5
UT Arlington,15-15,15,15,50,2072,69.1,2099,70,707,1731,40.8,214,699,30.6,444,598,74.2,194,6.5,382,430,0.89,88,2.9,1127,37.6,1051,35,2.5
Butler,16-14,16,14,53.3,2171,72.4,2094,69.8,786,1766,44.5,266,756,35.2,333,449,74.2,173,5.8,396,330,1.2,59,2,984,32.8,1026,34.2,-1.4
Florida St.,24-6,24,6,80,2285,76.2,2030,67.7,787,1762,44.7,223,672,33.2,488,658,74.2,218,7.3,395,408,0.97,128,4.3,1116,37.2,978,32.6,4.6
UTSA,17-13,17,13,56.7,2357,78.6,2241,74.7,852,1949,43.7,280,797,35.1,373,503,74.2,204,6.8,391,377,1.04,78,2.6,1152,38.4,1167,38.9,-0.5
Oregon St.,17-12,17,12,58.6,2132,73.5,2015,69.5,753,1615,46.6,193,593,32.5,433,584,74.1,172,5.9,442,368,1.2,158,5.4,1026,35.4,949,32.7,2.7
UNC Asheville,27-Apr,4,27,12.9,1857,59.9,2313,74.6,655,1627,40.3,223,687,32.5,324,437,74.1,196,6.3,331,457,0.72,86,2.8,931,30,1073,34.6,-4.6
Colgate,22-10,22,10,68.8,2404,75.1,2231,69.7,874,1837,47.6,283,742,38.1,373,504,74,192,6,496,415,1.2,112,3.5,1141,35.7,1018,31.8,3.8
Saint Mary's (CA),20-11,20,11,64.5,2277,73.5,2015,65,827,1750,47.3,236,623,37.9,387,523,74,185,6,324,326,0.99,78,2.5,1082,34.9,912,29.4,5.5
