 


  
  

NCAA Men's Basketball
Division IThree-Point Field-Goal Percentage
Through Games 03/08/2019


"Rank","Name","GM","W-L","3FG","3FGA","3FG%"
"1","Lehigh","30","20-10","282","664","42.5"
"2","Wofford","30","26-4","335","802","41.8"
"3","South Dakota St.","31","24-7","313","756","41.4"
"4","Virginia","29","27-2","244","590","41.4"
"5","Grambling","30","15-15","200","496","40.3"
"6","Fairleigh Dickinson","31","18-13","241","602","40.0"
"7","Virginia Tech","30","23-7","292","733","39.8"
"8","La.-Monroe","29","15-14","284","720","39.4"
"9","Marquette","30","23-7","280","711","39.4"
"10","Georgia St.","30","21-9","301","765","39.3"
"11","Omaha","29","19-10","260","661","39.3"
"12","Gardner-Webb","33","22-11","267","679","39.3"
"13","Utah Valley","30","22-8","242","618","39.2"
"14","Creighton","30","17-13","324","828","39.1"
"15","Hofstra","31","25-6","281","719","39.1"
"16","Northeastern","30","20-10","288","747","38.6"
"17","Abilene Christian","30","24-6","223","579","38.5"
"18","Michigan St.","30","24-6","251","652","38.5"
"19","Western Ill.","29","9-20","227","591","38.4"
"20","Oakland","32","16-16","302","788","38.3"
"21","Southern California","30","15-15","255","666","38.3"
"22","Hartford","31","17-14","302","789","38.3"
"23","Presbyterian","33","18-15","361","945","38.2"
"24","Radford","32","22-10","278","728","38.2"
"25","Austin Peay","33","22-11","268","702","38.2"
"26","Colgate","32","22-10","283","742","38.1"
"27","Lafayette","30","10-20","280","736","38.0"
"28","Belmont","30","26-4","318","838","37.9"
"29","Coastal Caro.","29","15-14","242","638","37.9"
"30","Saint Mary's (CA)","31","20-11","236","623","37.9"
"31","Southern Miss.","29","18-11","228","603","37.8"
"32","Pepperdine","32","15-17","290","767","37.8"
"33","Seattle U","30","17-13","220","582","37.8"
"34","Toledo","31","25-6","302","801","37.7"
"35","Purdue Fort Wayne","31","17-14","336","892","37.7"
"36","Harvard","26","16-10","226","600","37.7"
"37","Montana","30","22-8","244","649","37.6"
"38","Wisconsin","30","21-9","219","583","37.6"
"39","Samford","32","17-15","250","666","37.5"
"40","UC Riverside","31","9-22","263","701","37.5"
"41","Fresno St.","29","21-8","298","795","37.5"
"42","Dartmouth","29","11-18","263","702","37.5"
"43","Auburn","30","21-9","330","881","37.5"
"44","Utah","29","16-13","279","745","37.4"
"45","Southern Ill.","32","17-15","213","570","37.4"
"46","Winthrop","30","18-12","372","997","37.3"
"47","Oklahoma St.","30","11-19","261","700","37.3"
"48","North Dakota","29","12-17","234","628","37.3"
"49","North Carolina","30","25-5","266","714","37.3"
"50","Norfolk St.","31","19-12","245","658","37.2"
"51","Quinnipiac","29","16-13","320","860","37.2"
"52","Lipscomb","31","25-6","274","737","37.2"
"53","FGCU","32","14-18","269","724","37.2"
"54","Yale","26","19-7","205","552","37.1"
"55","Mississippi St.","30","21-9","248","668","37.1"
"56","Eastern Ill.","32","14-18","272","735","37.0"
"57","Western Caro.","32","7-25","296","800","37.0"
"58","Southeast Mo. St.","31","10-21","266","719","37.0"
"59","Delaware","31","16-15","257","695","37.0"
"60","Purdue","30","22-8","298","806","37.0"
"61","Cleveland St.","31","10-21","303","820","37.0"
"62","St. John's (NY)","30","20-10","264","716","36.9"
"63","Bradley","32","18-14","218","592","36.8"
"64","Central Mich.","31","21-10","264","717","36.8"
"65","Florida A&M","31","12-19","180","489","36.8"
"66","Liberty","33","27-6","293","796","36.8"
"67","Sam Houston St.","30","20-10","283","769","36.8"
