 


  
  

NCAA Men's Basketball
Division IAssist Turnover Ratio
Through Games 03/08/2019


"Rank","Name","GM","W-L","AST","TO","Ratio"
"1","Gonzaga","31","29-2","569","317","1.79"
"2","Belmont","30","26-4","601","352","1.71"
"3","Tennessee","30","27-3","561","335","1.67"
"4","Southern Miss.","29","18-11","492","298","1.65"
"5","Presbyterian","33","18-15","518","326","1.59"
"6","Virginia","29","27-2","425","268","1.59"
"7","Nevada","30","27-3","459","303","1.51"
"8","Murray St.","30","26-4","547","365","1.50"
"9","Michigan St.","30","24-6","580","389","1.49"
"10","Richmond","30","12-18","470","317","1.48"
"11","Hofstra","31","25-6","447","304","1.47"
"12","Holy Cross","33","16-17","513","350","1.47"
"13","Michigan","30","26-4","403","275","1.47"
"14","Wofford","30","26-4","464","321","1.45"
"15","Campbell","32","20-12","469","325","1.44"
"16","North Carolina","30","25-5","582","404","1.44"
"17","Iowa St.","30","20-10","470","328","1.43"
"18","Buffalo","31","28-3","532","374","1.42"
"19","Omaha","29","19-10","386","274","1.41"
"20","Southern California","30","15-15","501","356","1.41"
"21","San Francisco","30","21-9","427","306","1.40"
"22","Utah St.","31","25-6","534","383","1.39"
"23","BYU","31","19-12","477","344","1.39"
"24","Oakland","32","16-16","561","409","1.37"
"25","Notre Dame","30","13-17","386","286","1.35"
"26","Toledo","31","25-6","516","383","1.35"
"27","Wisconsin","30","21-9","382","284","1.35"
"28","Northern Ky.","32","24-8","544","405","1.34"
"29","Virginia Tech","30","23-7","463","345","1.34"
"30","Liberty","33","27-6","489","365","1.34"
"31","Purdue Fort Wayne","31","17-14","497","371","1.34"
"32","St. John's (NY)","30","20-10","427","320","1.33"
"33","Temple","30","22-8","440","331","1.33"
"34","William & Mary","30","14-16","511","385","1.33"
"35","Army West Point","32","13-19","499","376","1.33"
"36","Hawaii","29","17-12","452","341","1.33"
"37","Dayton","30","20-10","494","373","1.32"
"38","Davidson","30","22-8","442","334","1.32"
"39","Nebraska","30","15-15","385","291","1.32"
"40","Houston","30","28-2","456","346","1.32"
"41","Purdue","30","22-8","427","326","1.31"
"42","Sam Houston St.","30","20-10","498","381","1.31"
"43","Hampton","31","15-16","435","334","1.30"
"44","Lipscomb","31","25-6","541","416","1.30"
"45","Villanova","30","22-8","429","331","1.30"
"46","Saint Joseph's","31","13-18","374","289","1.29"
"47","Radford","32","22-10","456","353","1.29"
"48","Abilene Christian","30","24-6","470","365","1.29"
"49","Cincinnati","30","25-5","412","320","1.29"
"50","Northwestern","30","13-17","424","330","1.28"
"51","South Dakota St.","31","24-7","466","365","1.28"
"52","Colorado St.","30","12-18","445","349","1.28"
"53","Furman","30","24-6","477","375","1.27"
"54","Siena","31","16-15","385","304","1.27"
"55","SMU","29","13-16","402","318","1.26"
"56","Iowa","30","21-9","466","369","1.26"
"57","Bucknell","31","20-11","481","381","1.26"
"58","Yale","26","19-7","452","361","1.25"
"59","Gardner-Webb","33","22-11","479","383","1.25"
"60","UC Santa Barbara","29","20-9","405","324","1.25"
"61","Georgetown","30","18-12","513","411","1.25"
"62","Drexel","31","13-18","450","361","1.25"
"63","Northeastern","30","20-10","426","343","1.24"
"64","Duke","30","26-4","484","391","1.24"
"65","Columbia","27","10-17","433","350","1.24"
"66","Dartmouth","29","11-18","419","346","1.21"
"67","TCU","30","18-12","490","405","1.21"
"68","La.-Monroe","29","15-14","394","326","1.21"
"69","Arkansas","30","16-14","487","404","1.21"
"70","CSUN","31","13-18","470","390","1.21"
"71","Montana St.","29","14-15","437","363","1.20"
"72","Penn","29","18-11","445","370","1.20"
"73","NC State","30","20-10","469","390","1.20"
"74","New Mexico St.","30","26-4","436","363","1.20"
"75","Oregon St.","29","17-12","442","368","1.20"
"76","Grand Canyon","29","18-11","431","359","1.20"
"77","Wright St.","32","20-12","450","375","1.20"
"","Butler","30","16-14","396","330","1.20"
"79","The Citadel","30","12-18","463","386","1.20"
"80","Montana","30","22-8","432","361","1.20"
"81","Colgate","32","22-10","496","415","1.20"
"82","Creighton","30","17-13","476","399","1.19"
"83","Minnesota","31","19-12","454","381","1.19"
"84","San Diego","33","20-13","490","416","1.18"
"85","Kansas St.","30","23-7","411","349","1.18"
"86","South Dakota","29","13-16","369","314","1.18"
"87","Green Bay","32","17-15","473","403","1.17"
"88","UCF","29","23-6","392","335","1.17"
"89","Drake","32","24-8","498","426","1.17"
"90","Oregon","30","18-12","409","351","1.17"
"91","Texas","30","16-14","389","334","1.16"
"92","Eastern Wash.","30","13-17","412","354","1.16"
"93","Austin Peay","33","22-11","454","392","1.16"
"94","Louisiana Tech","31","19-12","418","363","1.15"
"95","San Diego St.","30","19-11","442","385","1.15"
"96","Texas Tech","30","25-5","426","372","1.15"
"97","Hartford","31","17-14","434","379","1.15"
"98","Auburn","30","21-9","440","385","1.14"
"99","Lehigh","30","20-10","461","405","1.14"
"100","Canisius","31","15-16","456","401","1.14"
"101","Wichita St.","29","16-13","399","351","1.14"
"102","Loyola Chicago","32","20-12","438","386","1.13"
"103","Texas St.","30","23-7","450","397","1.13"
"104","Kent St.","31","22-9","409","361","1.13"
"105","Ole Miss","30","19-11","439","388","1.13"
"106","VMI","31","11-20","431","381","1.13"
"107","Marshall","30","17-13","426","377","1.13"
"108","Elon","31","11-20","454","402","1.13"
"109","Pepperdine","32","15-17","454","406","1.12"
"110","UNCW","31","9-22","467","418","1.12"
"111","UMass Lowell","31","15-16","488","437","1.12"
"112","Cleveland St.","31","10-21","460","412","1.12"
"113","UNC Greensboro","31","26-5","409","367","1.11"
"114","Louisiana","30","18-12","445","400","1.11"
"115","ETSU","31","23-8","492","443","1.11"
"116","Charleston So.","32","17-15","459","414","1.11"
"117","Providence","30","16-14","431","389","1.11"
"118","Miami (FL)","30","13-17","391","353","1.11"
