 


  
  

NCAA Men's Basketball
Division IField-Goal Percentage
Through Games 03/08/2019


"Rank","Name","GM","W-L","FGM","FGA","FG%"
"1","Gonzaga","31","29-2","1007","1887","53.4"
"2","Ga. Southern","30","20-10","926","1833","50.5"
"3","South Dakota St.","31","24-7","930","1843","50.5"
"4","Dayton","30","20-10","821","1629","50.4"
"5","Belmont","30","26-4","962","1912","50.3"
"6","Tennessee","30","27-3","902","1805","50.0"
"7","Loyola Chicago","32","20-12","785","1576","49.8"
"8","Murray St.","30","26-4","909","1828","49.7"
"9","Yale","26","19-7","774","1565","49.5"
"10","Montana","30","22-8","837","1698","49.3"
"11","Hofstra","31","25-6","896","1821","49.2"
"12","Liberty","33","27-6","893","1820","49.1"
"13","ETSU","31","23-8","921","1882","48.9"
"14","Michigan St.","30","24-6","850","1737","48.9"
"15","Wofford","30","26-4","904","1849","48.9"
"16","Gardner-Webb","33","22-11","908","1864","48.7"
"17","Utah Valley","30","22-8","803","1654","48.5"
"18","Little Rock","30","10-20","796","1640","48.5"
"19","Northern Ky.","32","24-8","901","1863","48.4"
"20","Lehigh","30","20-10","832","1721","48.3"
"21","Lipscomb","31","25-6","903","1870","48.3"
"22","Northeastern","30","20-10","784","1624","48.3"
"23","Weber St.","30","17-13","852","1766","48.2"
"24","Creighton","30","17-13","848","1760","48.2"
"25","Virginia","29","27-2","750","1557","48.2"
"26","Col. of Charleston","31","23-8","823","1710","48.1"
"27","Colorado St.","30","12-18","820","1706","48.1"
"28","Purdue Fort Wayne","31","17-14","934","1944","48.0"
"29","Duke","30","26-4","925","1926","48.0"
"30","Omaha","29","19-10","874","1821","48.0"
"31","Boston U.","33","15-18","922","1923","47.9"
"32","Kentucky","30","25-5","801","1674","47.8"
"33","Richmond","30","12-18","777","1625","47.8"
"34","Iowa St.","30","20-10","850","1778","47.8"
"35","Virginia Tech","30","23-7","771","1620","47.6"
"36","Colgate","32","22-10","874","1837","47.6"
"37","Furman","30","24-6","850","1789","47.5"
"38","American","30","15-15","780","1644","47.4"
"39","Texas Tech","30","25-5","783","1653","47.4"
"40","Utah St.","31","25-6","862","1820","47.4"
"41","William & Mary","30","14-16","815","1721","47.4"
"42","Samford","32","17-15","894","1889","47.3"
"43","Fairleigh Dickinson","31","18-13","827","1749","47.3"
"44","Saint Mary's (CA)","31","20-11","827","1750","47.3"
"45","BYU","31","19-12","860","1820","47.3"
"46","Abilene Christian","30","24-6","799","1691","47.3"
"47","Drake","32","24-8","858","1816","47.2"
"48","Austin Peay","33","22-11","973","2060","47.2"
"49","UMass Lowell","31","15-16","849","1799","47.2"
"50","UCF","29","23-6","726","1544","47.0"
"51","Ball St.","31","15-16","834","1776","47.0"
"52","Georgia St.","30","21-9","817","1742","46.9"
"53","Mississippi St.","30","21-9","819","1747","46.9"
"54","Xavier","30","16-14","781","1667","46.9"
"55","DePaul","28","15-13","771","1646","46.8"
"56","Utah","29","16-13","756","1614","46.8"
"57","North Carolina","30","25-5","934","1995","46.8"
"58","San Francisco","30","21-9","837","1788","46.8"
"59","Oakland","32","16-16","843","1801","46.8"
"60","Southern Miss.","29","18-11","797","1704","46.8"
"61","Boise St.","30","11-19","769","1646","46.7"
"62","Incarnate Word","30","6-24","691","1481","46.7"
"63","Southern Ill.","32","17-15","802","1720","46.6"
"64","Oregon St.","29","17-12","753","1615","46.6"
"65","Nevada","30","27-3","831","1783","46.6"
"66","CSUN","31","13-18","884","1897","46.6"
"67","Northern Ill.","31","15-16","851","1829","46.5"
"68","Marquette","30","23-7","796","1712","46.5"
"69","Kansas","30","22-8","818","1760","46.5"
"70","Northern Colo.","30","21-9","801","1726","46.4"
"71","Buffalo","31","28-3","943","2036","46.3"
"72","NC State","30","20-10","893","1929","46.3"
"73","North Dakota","29","12-17","793","1713","46.3"
"74","Radford","32","22-10","865","1870","46.3"
"75","Ole Miss","30","19-11","800","1730","46.2"
"76","Holy Cross","33","16-17","848","1834","46.2"
"77","Jacksonville St.","33","24-9","953","2062","46.2"
"78","Houston Baptist","28","12-16","817","1769","46.2"
"79","Drexel","31","13-18","850","1841","46.2"
"80","N.C. A&T","29","17-12","745","1614","46.2"
"81","Southern California","30","15-15","855","1855","46.1"
"82","Colorado","29","18-11","765","1660","46.1"
"83","Memphis","30","18-12","865","1877","46.1"
"84","N.C. Central","29","15-14","763","1656","46.1"
"85","Washington","30","24-6","751","1630","46.1"
"86","UNC Greensboro","31","26-5","873","1895","46.1"
"87","Clemson","30","18-12","750","1630","46.0"
"88","Harvard","26","16-10","658","1431","46.0"
"89","LSU","30","25-5","852","1853","46.0"
"90","Sacred Heart","32","15-17","885","1926","46.0"
"91","UIC","32","16-16","865","1883","45.9"
"92","South Alabama","30","14-16","770","1678","45.9"
"93","San Diego","33","20-13","844","1840","45.9"
"94","Loyola Maryland","32","11-21","842","1836","45.9"
"95","Cal St. Fullerton","29","14-15","757","1651","45.9"
"96","Grand Canyon","29","18-11","775","1691","45.8"
