 


  
  

NCAA Men's Basketball
Division IFree-Throw Percentage
Through Games 03/08/2019


"Rank","Name","GM","W-L","FT","FTA","FT%"
"1","Incarnate Word","30","6-24","445","549","81.1"
"2","Hofstra","31","25-6","540","677","79.8"
"3","Central Conn. St.","31","11-20","496","634","78.2"
"4","Hampton","31","15-16","548","701","78.2"
"5","South Dakota St.","31","24-7","467","598","78.1"
"6","Ole Miss","30","19-11","437","560","78.0"
"7","North Dakota St.","30","15-15","398","512","77.7"
"8","La.-Monroe","29","15-14","479","619","77.4"
"9","Louisville","30","19-11","487","630","77.3"
"10","Toledo","31","25-6","391","506","77.3"
"11","Lehigh","30","20-10","458","594","77.1"
"12","Gonzaga","31","29-2","527","684","77.0"
"13","Liberty","33","27-6","363","473","76.7"
"14","Nicholls St.","30","13-17","310","404","76.7"
"15","Marquette","30","23-7","444","579","76.7"
"16","La Salle","29","9-20","367","479","76.6"
"17","Col. of Charleston","31","23-8","454","594","76.4"
"18","Virginia Tech","30","23-7","400","525","76.2"
"19","Tennessee","30","27-3","467","613","76.2"
"20","Pepperdine","32","15-17","503","662","76.0"
"21","Denver","30","8-22","349","460","75.9"
"22","LSU","30","25-5","546","720","75.8"
"23","Campbell","32","20-12","439","579","75.8"
"24","Drexel","31","13-18","432","570","75.8"
"25","Sacred Heart","32","15-17","545","722","75.5"
"26","Drake","32","24-8","448","594","75.4"
"27","Northeastern","30","20-10","423","561","75.4"
"28","UT Martin","31","12-19","398","528","75.4"
"29","Washington St.","30","11-19","403","535","75.3"
"30","Lipscomb","31","25-6","522","694","75.2"
"31","Vermont","30","24-6","462","617","74.9"
"32","Virginia","29","27-2","347","464","74.8"
"33","Iowa","30","21-9","553","740","74.7"
"34","Notre Dame","30","13-17","402","538","74.7"
"35","Louisiana","30","18-12","504","675","74.7"
"36","UNI","32","15-17","389","521","74.7"
"37","Utah St.","31","25-6","483","647","74.7"
"38","Weber St.","30","17-13","477","639","74.6"
"39","Milwaukee","31","9-22","379","508","74.6"
"40","Charlotte","28","7-21","372","499","74.5"
"41","North Carolina","30","25-5","471","632","74.5"
"42","Saint Joseph's","31","13-18","427","573","74.5"
"43","Davidson","30","22-8","345","463","74.5"
"44","Maryland","31","22-9","418","561","74.5"
"45","Pacific","32","14-18","520","698","74.5"
"46","Hartford","31","17-14","420","564","74.5"
"47","Wagner","30","13-17","428","575","74.4"
"48","Loyola Marymount","31","20-11","460","618","74.4"
"49","Michigan St.","30","24-6","445","598","74.4"
"50","Bucknell","31","20-11","447","601","74.4"
"51","Lafayette","30","10-20","325","437","74.4"
"52","Albany (NY)","31","12-19","412","554","74.4"
"53","Oakland","32","16-16","481","647","74.3"
"54","Princeton","26","16-10","344","463","74.3"
"55","Jacksonville St.","33","24-9","468","630","74.3"
"56","Sam Houston St.","30","20-10","358","482","74.3"
"57","Fla. Atlantic","30","17-13","381","513","74.3"
"58","UT Arlington","30","15-15","444","598","74.2"
"59","Butler","30","16-14","333","449","74.2"
"60","Florida St.","30","24-6","488","658","74.2"
"61","UTSA","30","17-13","373","503","74.2"
"62","Oregon St.","29","17-12","433","584","74.1"
"63","UNC Asheville","31","4-27","324","437","74.1"
