 


  
  

NCAA Men's Basketball
Division IRebound Margin
Through Games 03/08/2019


"Rank","Name","GM","W-L","REB","RPG","OPP REB","OPP RPG","REB MAR"
"1","ETSU","31","23-8","1249","40.3","905","29.2","11.1"
"2","North Carolina","30","25-5","1301","43.4","996","33.2","10.2"
"3","New Mexico St.","30","26-4","1142","38.1","864","28.8","9.3"
"4","Kentucky","30","25-5","1155","38.5","888","29.6","8.9"
"5","Maryland","31","22-9","1220","39.4","946","30.5","8.8"
"6","Utah St.","31","25-6","1240","40.0","972","31.4","8.6"
"7","Michigan St.","30","24-6","1236","41.2","982","32.7","8.5"
"8","Houston","30","28-2","1223","40.8","992","33.1","7.7"
"9","UC Irvine","31","26-5","1255","40.5","1023","33.0","7.5"
"10","South Fla.","30","19-11","1173","39.1","954","31.8","7.3"
"11","High Point","31","16-15","1183","38.2","970","31.3","6.9"
"12","Portland St.","30","15-15","1191","39.7","987","32.9","6.8"
"13","UC Santa Barbara","29","20-9","1097","37.8","900","31.0","6.8"
"","N.C. Central","29","15-14","1084","37.4","887","30.6","6.8"
"15","Baylor","30","19-11","1138","37.9","940","31.3","6.6"
"16","Lamar University","30","18-12","1159","38.6","962","32.1","6.6"
"17","Stony Brook","31","24-7","1263","40.7","1060","34.2","6.5"
"","Gonzaga","31","29-2","1211","39.1","1008","32.5","6.5"
"19","Duke","30","26-4","1256","41.9","1060","35.3","6.5"
"20","Wofford","30","26-4","1055","35.2","862","28.7","6.4"
"21","Jacksonville St.","33","24-9","1310","39.7","1100","33.3","6.4"
"22","Saint Louis","30","19-11","1191","39.7","1007","33.6","6.1"
"23","Virginia","29","27-2","1024","35.3","848","29.2","6.1"
"24","Texas St.","30","23-7","1133","37.8","956","31.9","5.9"
"25","Cincinnati","30","25-5","1087","36.2","919","30.6","5.6"
"26","Saint Mary's (CA)","31","20-11","1082","34.9","912","29.4","5.5"
"27","Colorado","29","18-11","1079","37.2","921","31.8","5.4"
"28","Old Dominion","30","23-7","1184","39.5","1021","34.0","5.4"
"29","DePaul","28","15-13","1051","37.5","900","32.1","5.4"
"30","UNLV","29","16-13","1123","38.7","969","33.4","5.3"
"31","Bowling Green","31","20-11","1279","41.3","1115","36.0","5.3"
"32","Winthrop","30","18-12","1231","41.0","1073","35.8","5.3"
"33","Purdue","30","22-8","1105","36.8","952","31.7","5.1"
"34","South Dakota St.","31","24-7","1183","38.2","1026","33.1","5.1"
"35","Yale","26","19-7","1021","39.3","890","34.2","5.0"
"36","Towson","31","10-21","1153","37.2","999","32.2","5.0"
"37","CSU Bakersfield","29","16-13","1080","37.2","936","32.3","5.0"
"38","Arizona St.","29","20-9","1169","40.3","1027","35.4","4.9"
"39","Northern Ky.","32","24-8","1183","37.0","1030","32.2","4.8"
"40","Lipscomb","31","25-6","1169","37.7","1021","32.9","4.8"
"41","Toledo","31","25-6","1225","39.5","1078","34.8","4.7"
"42","UCLA","30","16-14","1236","41.2","1095","36.5","4.7"
"","LSU","30","25-5","1162","38.7","1021","34.0","4.7"
"44","IUPUI","32","16-16","1192","37.3","1042","32.6","4.7"
"45","Marquette","30","23-7","1130","37.7","991","33.0","4.6"
"46","Florida St.","30","24-6","1116","37.2","978","32.6","4.6"
"47","Fla. Atlantic","30","17-13","1200","40.0","1064","35.5","4.5"
"48","West Virginia","30","12-18","1176","39.2","1042","34.7","4.5"
"","Belmont","30","26-4","1174","39.1","1040","34.7","4.5"
"50","Sacred Heart","32","15-17","1231","38.5","1090","34.1","4.4"
"51","Harvard","26","16-10","941","36.2","827","31.8","4.4"
"52","Coastal Caro.","29","15-14","1063","36.7","938","32.3","4.3"
"53","North Texas","30","20-10","1117","37.2","988","32.9","4.3"
"54","NC State","30","20-10","1145","38.2","1020","34.0","4.2"
"55","Utah Valley","30","22-8","1081","36.0","957","31.9","4.1"
"56","Missouri","29","14-15","1031","35.6","916","31.6","4.0"
"57","Houston Baptist","28","12-16","1076","38.4","965","34.5","4.0"
"58","A&M-Corpus Christi","30","13-17","1088","36.3","971","32.4","3.9"
"","Xavier","30","16-14","1081","36.0","964","32.1","3.9"
"","Vermont","30","24-6","1060","35.3","943","31.4","3.9"
"61","Rutgers","29","14-15","1137","39.2","1025","35.3","3.9"
"62","Colgate","32","22-10","1141","35.7","1018","31.8","3.8"
"","Radford","32","22-10","1138","35.6","1015","31.7","3.8"
"64","Georgetown","30","18-12","1196","39.9","1081","36.0","3.8"
"65","UNCW","31","9-22","1153","37.2","1037","33.5","3.7"
"66","UAB","30","17-13","1096","36.5","985","32.8","3.7"
"67","Buffalo","31","28-3","1260","40.6","1147","37.0","3.6"
"68","Louisville","30","19-11","1137","37.9","1028","34.3","3.6"
"","Mississippi St.","30","21-9","1072","35.7","963","32.1","3.6"
"70","Grand Canyon","29","18-11","1056","36.4","951","32.8","3.6"
"71","Navy","30","12-18","1128","37.6","1020","34.0","3.6"
"72","Tennessee","30","27-3","1136","37.9","1029","34.3","3.6"
"73","Middle Tenn.","30","10-20","1153","38.4","1049","35.0","3.5"
"74","Wake Forest","29","11-18","1098","37.9","998","34.4","3.4"
"75","Murray St.","30","26-4","1129","37.6","1026","34.2","3.4"
"76","Northern Colo.","30","21-9","1064","35.5","962","32.1","3.4"
"77","Georgia","30","11-19","1143","38.1","1042","34.7","3.4"
"78","Minnesota","31","19-12","1164","37.5","1060","34.2","3.4"
"79","Wright St.","32","20-12","1123","35.1","1017","31.8","3.3"
"80","Utah","29","16-13","1021","35.2","926","31.9","3.3"
"81","Saint Francis (PA)","30","17-13","1139","38.0","1041","34.7","3.3"
"82","Bethune-Cookman","30","14-16","1228","40.9","1131","37.7","3.2"
"83","Loyola Marymount","31","20-11","1005","32.4","906","29.2","3.2"
"84","Western Caro.","32","7-25","1135","35.5","1033","32.3","3.2"
"85","Seattle U","30","17-13","1094","36.5","999","33.3","3.2"
"86","Alabama","30","17-13","1122","37.4","1028","34.3","3.1"
"87","San Francisco","30","21-9","1098","36.6","1005","33.5","3.1"
"88","Clemson","30","18-12","1051","35.0","959","32.0","3.1"
"","Virginia Tech","30","23-7","977","32.6","885","29.5","3.1"
"90","Massachusetts","30","11-19","1047","34.9","959","32.0","2.9"
"91","Wagner","30","13-17","1095","36.5","1009","33.6","2.9"
"92","Oral Roberts","31","11-20","1113","35.9","1026","33.1","2.8"
"93","Dayton","30","20-10","1047","34.9","963","32.1","2.8"
"","Montana","30","22-8","1016","33.9","932","31.1","2.8"
"95","Miami (OH)","31","15-16","1151","37.1","1066","34.4","2.7"
"96","San Diego St.","30","19-11","1091","36.4","1009","33.6","2.7"
"97","Texas Tech","30","25-5","1030","34.3","949","31.6","2.7"
"98","Villanova","30","22-8","1060","35.3","980","32.7","2.7"
"","Southeastern La.","30","16-14","1011","33.7","931","31.0","2.7"
"100","Wichita St.","29","16-13","1095","37.8","1018","35.1","2.7"
"","Oregon St.","29","17-12","1026","35.4","949","32.7","2.7"
"102","Austin Peay","33","22-11","1223","37.1","1138","34.5","2.6"
"103","Drexel","31","13-18","1091","35.2","1012","32.6","2.5"
"104","UT Arlington","30","15-15","1127","37.6","1051","35.0","2.5"
"105","Ole Miss","30","19-11","1043","34.8","968","32.3","2.5"
"106","Arkansas St.","30","13-17","1133","37.8","1062","35.4","2.4"
"107","San Diego","33","20-13","1135","34.4","1057","32.0","2.4"
"108","UCF","29","23-6","1071","36.9","1005","34.7","2.3"
"109","Stanford","30","15-15","1100","36.7","1032","34.4","2.3"
"110","Liberty","33","27-6","1082","32.8","1008","30.5","2.2"
"111","Memphis","30","18-12","1131","37.7","1065","35.5","2.2"
"112","Drake","32","24-8","1147","35.8","1077","33.7","2.2"
"113","Penn St.","30","13-17","1096","36.5","1031","34.4","2.2"
"114","Youngstown St.","32","12-20","1207","37.7","1138","35.6","2.2"
"115","SMU","29","13-16","1048","36.1","988","34.1","2.1"
"116","Kansas","30","22-8","1126","37.5","1064","35.5","2.1"
"117","Rice","30","13-17","1157","38.6","1096","36.5","2.0"
"118","Ball St.","31","15-16","1167","37.6","1104","35.6","2.0"
"119","Furman","30","24-6","1083","36.1","1023","34.1","2.0"
"120","TCU","30","18-12","1087","36.2","1028","34.3","2.0"
"","Denver","30","8-22","1041","34.7","982","32.7","2.0"
"122","Rhode Island","29","15-14","1060","36.6","1003","34.6","2.0"
"123","Boston U.","33","15-18","1091","33.1","1028","31.2","1.9"
"124","Eastern Mich.","31","15-16","1124","36.3","1065","34.4","1.9"
"125","Western Ky.","31","18-13","1132","36.5","1076","34.7","1.8"
"126","Western Mich.","31","8-23","1144","36.9","1089","35.1","1.8"
"127","Saint Peter's","32","10-22","1037","32.4","982","30.7","1.7"
"128","Texas A&M","29","13-16","1106","38.1","1057","36.4","1.7"
"","Fresno St.","29","21-8","1042","35.9","993","34.2","1.7"
"130","Kansas St.","30","23-7","999","33.3","950","31.7","1.6"
"131","Sam Houston St.","30","20-10","1082","36.1","1034","34.5","1.6"
"","Ohio St.","30","18-12","1044","34.8","996","33.2","1.6"
"133","Nevada","30","27-3","1120","37.3","1074","35.8","1.5"
"134","Northern Ill.","31","15-16","1088","35.1","1041","33.6","1.5"
"135","Pacific","32","14-18","1040","32.5","992","31.0","1.5"
"136","Indiana","30","16-14","1088","36.3","1044","34.8","1.5"
"137","Kent St.","31","22-9","1111","35.8","1067","34.4","1.4"
"138","Abilene Christian","30","24-6","995","33.2","953","31.8","1.4"
"139","Charleston So.","32","17-15","1200","37.5","1156","36.1","1.4"
"140","VCU","31","25-6","1140","36.8","1099","35.5","1.3"
"141","Iowa","30","21-9","1073","35.8","1034","34.5","1.3"
"142","Loyola Chicago","32","20-12","955","29.8","915","28.6","1.3"
"143","McNeese","30","9-21","1021","34.0","984","32.8","1.2"
"","Oregon","30","18-12","1021","34.0","984","32.8","1.2"
"145","Quinnipiac","29","16-13","1047","36.1","1012","34.9","1.2"
"146","UConn","30","14-16","1077","35.9","1041","34.7","1.2"
"147","Cal St. Fullerton","29","14-15","1068","36.8","1034","35.7","1.2"
