 


  
  

NCAA Men's Basketball
Division IScoring Defense
Through Games 03/08/2019


"Rank","Name","GM","W-L","OPP PTS","OPP PPG"
"1","Virginia","29","27-2","1569","54.1"
"2","Texas Tech","30","25-5","1745","58.2"
"3","Michigan","30","26-4","1749","58.3"
"4","Kansas St.","30","23-7","1778","59.3"
"5","Liberty","33","27-6","1998","60.5"
"6","Loyola Chicago","32","20-12","1943","60.7"
"7","Wisconsin","30","21-9","1831","61.0"
"8","Old Dominion","30","23-7","1834","61.1"
"9","VCU","31","25-6","1896","61.2"
"10","Cincinnati","30","25-5","1836","61.2"
"11","Houston","30","28-2","1841","61.4"
"12","Virginia Tech","30","23-7","1866","62.2"
"13","North Texas","30","20-10","1880","62.7"
"14","Manhattan","32","11-21","2011","62.8"
"15","Loyola Marymount","31","20-11","1951","62.9"
"16","UC Irvine","31","26-5","1967","63.5"
"17","Abilene Christian","30","24-6","1904","63.5"
"18","UMBC","31","19-12","1972","63.6"
"19","Vermont","30","24-6","1910","63.7"
"","Texas St.","30","23-7","1910","63.7"
"","Florida","30","17-13","1910","63.7"
"22","Akron","31","16-15","1974","63.7"
"23","UCF","29","23-6","1847","63.7"
"24","St. Bonaventure","30","15-15","1925","64.2"
"25","Clemson","30","18-12","1928","64.3"
"","Oregon","30","18-12","1928","64.3"
"27","Washington","30","24-6","1930","64.3"
"28","Northwestern","30","13-17","1938","64.6"
"29","New Mexico St.","30","26-4","1940","64.7"
"30","Southern Miss.","29","18-11","1877","64.7"
"31","Davidson","30","22-8","1944","64.8"
"32","Saint Louis","30","19-11","1945","64.8"
"33","Maryland","31","22-9","2013","64.9"
"","Gonzaga","31","29-2","2013","64.9"
"35","Saint Mary's (CA)","31","20-11","2015","65.0"
"36","Syracuse","30","19-11","1958","65.3"
"37","Siena","31","16-15","2024","65.3"
"38","Ohio St.","30","18-12","1960","65.3"
"39","Stony Brook","31","24-7","2028","65.4"
"40","Wofford","30","26-4","1963","65.4"
"41","Kentucky","30","25-5","1965","65.5"
"42","UC Santa Barbara","29","20-9","1900","65.5"
"43","Furman","30","24-6","1966","65.5"
"44","Bradley","32","18-14","2104","65.8"
"45","Dayton","30","20-10","1974","65.8"
"46","Nebraska","30","15-15","1978","65.9"
"47","Jackson St.","30","12-18","1979","66.0"
"48","Michigan St.","30","24-6","1980","66.0"
"49","A&M-Corpus Christi","30","13-17","1982","66.1"
"50","UNI","32","15-17","2115","66.1"
"51","Georgia Tech","31","14-17","2052","66.2"
"52","South Fla.","30","19-11","1987","66.2"
"53","Valparaiso","33","15-18","2187","66.3"
"54","Baylor","30","19-11","1989","66.3"
"55","Florida A&M","31","12-19","2057","66.4"
"56","Villanova","30","22-8","2001","66.7"
