 


  
  

NCAA Men's Basketball
Division IScoring Offense
Through Games 03/08/2019


"Rank","Name","GM","W-L","PTS","PPG"
"1","Gonzaga","31","29-2","2785","89.8"
"2","Belmont","30","26-4","2645","88.2"
"3","North Carolina","30","25-5","2605","86.8"
"4","South Dakota St.","31","24-7","2640","85.2"
"5","The Citadel","30","12-18","2553","85.1"
"6","Buffalo","31","28-3","2634","85.0"
"7","Duke","30","26-4","2538","84.6"
"8","Hofstra","31","25-6","2613","84.3"
"9","Lipscomb","31","25-6","2602","83.9"
"10","FIU","30","18-12","2513","83.8"
"11","Murray St.","30","26-4","2505","83.5"
"12","Ga. Southern","30","20-10","2502","83.4"
"13","Winthrop","30","18-12","2499","83.3"
"14","Purdue Fort Wayne","31","17-14","2572","83.0"
"15","Wofford","30","26-4","2489","83.0"
"16","Houston Baptist","28","12-16","2317","82.8"
"17","Eastern Ky.","31","13-18","2562","82.6"
"18","Central Mich.","31","21-10","2559","82.5"
"19","Tennessee","30","27-3","2472","82.4"
"20","Austin Peay","33","22-11","2712","82.2"
"21","Memphis","30","18-12","2455","81.8"
"22","Louisiana","30","18-12","2453","81.8"
"23","LSU","30","25-5","2451","81.7"
"24","Hampton","31","15-16","2531","81.6"
"25","Nevada","30","27-3","2448","81.6"
"26","NC State","30","20-10","2439","81.3"
"27","Green Bay","32","17-15","2599","81.2"
"28","Marshall","30","17-13","2416","80.5"
"29","Georgetown","30","18-12","2414","80.5"
"30","Yale","26","19-7","2092","80.5"
"31","Weber St.","30","17-13","2410","80.3"
"32","Appalachian St.","30","11-19","2406","80.2"
"33","Lehigh","30","20-10","2404","80.1"
"34","Sacred Heart","32","15-17","2558","79.9"
"35","Auburn","30","21-9","2398","79.9"
"36","Omaha","29","19-10","2318","79.9"
"37","Michigan St.","30","24-6","2396","79.9"
"","Texas Southern","30","19-11","2396","79.9"
"39","ETSU","31","23-8","2473","79.8"
"40","BYU","31","19-12","2470","79.7"
"41","Northern Ky.","32","24-8","2549","79.7"
"42","Howard","31","16-15","2463","79.5"
"43","Utah St.","31","25-6","2450","79.0"
"44","Creighton","30","17-13","2368","78.9"
"45","Presbyterian","33","18-15","2601","78.8"
"46","Lamar University","30","18-12","2361","78.7"
"47","UTSA","30","17-13","2357","78.6"
"","Iowa","30","21-9","2357","78.6"
"49","Samford","32","17-15","2513","78.5"
"50","St. John's (NY)","30","20-10","2354","78.5"
"51","Gardner-Webb","33","22-11","2586","78.4"
"52","UCLA","30","16-14","2348","78.3"
"53","La.-Monroe","29","15-14","2269","78.2"
"54","Bowling Green","31","20-11","2425","78.2"
"55","Furman","30","24-6","2345","78.2"
"56","Montana St.","29","14-15","2263","78.0"
"57","Jacksonville St.","33","24-9","2574","78.0"
"58","Arizona St.","29","20-9","2260","77.9"
"59","Iowa St.","30","20-10","2336","77.9"
"60","New Mexico St.","30","26-4","2328","77.6"
"61","Utah Valley","30","22-8","2327","77.6"
"62","Coastal Caro.","29","15-14","2247","77.5"
"63","Georgia St.","30","21-9","2321","77.4"
"64","Portland St.","30","15-15","2320","77.3"
"65","Toledo","31","25-6","2397","77.3"
"66","Marquette","30","23-7","2316","77.2"
"67","Kentucky","30","25-5","2315","77.2"
"68","Oakland","32","16-16","2469","77.2"
"69","UMass Lowell","31","15-16","2386","77.0"
"70","Northern Colo.","30","21-9","2308","76.9"
"71","DePaul","28","15-13","2154","76.9"
"72","UNC Greensboro","31","26-5","2384","76.9"
"73","Iona","30","15-15","2305","76.8"
"74","Mississippi St.","30","21-9","2304","76.8"
"75","Rider","30","16-14","2300","76.7"
"76","Montana","30","22-8","2299","76.6"
"77","CSUN","31","13-18","2375","76.6"
"78","Southern California","30","15-15","2298","76.6"
