 


  
  

NCAA Men's Basketball
Division ISteals Per Game
Through Games 03/08/2019


"Rank","Name","GM","W-L","ST","STPG"
"1","FIU","30","18-12","317","10.6"
"2","Eastern Ky.","31","13-18","317","10.2"
"3","Duke","30","26-4","289","9.6"
"4","UTRGV","33","18-15","313","9.5"
"5","LSU","30","25-5","280","9.3"
"6","Rider","30","16-14","277","9.2"
"7","Marshall","30","17-13","275","9.2"
"8","New Orleans","29","17-12","265","9.1"
"9","Auburn","30","21-9","273","9.1"
"10","UNC Greensboro","31","26-5","278","9.0"
"11","Washington","30","24-6","267","8.9"
"12","Lamar University","30","18-12","266","8.9"
"","St. John's (NY)","30","20-10","266","8.9"
"14","Furman","30","24-6","265","8.8"
"15","Temple","30","22-8","264","8.8"
"16","Loyola Maryland","32","11-21","278","8.7"
"17","Abilene Christian","30","24-6","257","8.6"
"18","Prairie View","30","18-12","252","8.4"
"19","Portland St.","30","15-15","251","8.4"
"20","Mississippi St.","30","21-9","249","8.3"
"21","Syracuse","30","19-11","246","8.2"
"22","Arkansas","30","16-14","245","8.2"
"23","Duquesne","30","19-11","244","8.1"
"24","Georgia St.","30","21-9","242","8.1"
"25","Texas Southern","30","19-11","241","8.0"
"","Memphis","30","18-12","241","8.0"
"27","VCU","31","25-6","249","8.0"
"28","South Fla.","30","19-11","240","8.0"
"29","Ga. Southern","30","20-10","239","8.0"
"30","Southern Miss.","29","18-11","231","8.0"
"31","Green Bay","32","17-15","254","7.9"
"32","Houston Baptist","28","12-16","221","7.9"
"33","Charleston So.","32","17-15","252","7.9"
"34","UMBC","31","19-12","244","7.9"
"35","Fairleigh Dickinson","31","18-13","242","7.8"
"36","Central Mich.","31","21-10","241","7.8"
"37","Richmond","30","12-18","233","7.8"
"38","Murray St.","30","26-4","232","7.7"
"39","Columbia","27","10-17","208","7.7"
"40","Sacramento St.","28","14-14","215","7.7"
"41","Lipscomb","31","25-6","238","7.7"
"","Detroit Mercy","31","11-20","238","7.7"
"43","Brown","29","19-10","222","7.7"
"","Alcorn","29","10-19","222","7.7"
"45","Austin Peay","33","22-11","252","7.6"
"46","Penn St.","30","13-17","229","7.6"
"47","Maine","31","5-26","236","7.6"
"48","Sam Houston St.","30","20-10","228","7.6"
"","NC State","30","20-10","228","7.6"
"","Oregon","30","18-12","228","7.6"
"51","Saint Louis","30","19-11","227","7.6"
"52","La Salle","29","9-20","218","7.5"
"53","Gonzaga","31","29-2","233","7.5"
"54","Ole Miss","30","19-11","225","7.5"
"","Savannah St.","30","11-19","225","7.5"
"56","Morgan St.","29","9-20","217","7.5"
"","East Carolina","29","10-19","217","7.5"
"58","Illinois","30","11-19","224","7.5"
"59","Jacksonville St.","33","24-9","246","7.5"
"60","Eastern Mich.","31","15-16","231","7.5"
"","Buffalo","31","28-3","231","7.5"
"62","Bethune-Cookman","30","14-16","223","7.4"
"63","ETSU","31","23-8","230","7.4"
"64","Florida","30","17-13","222","7.4"
"","North Carolina","30","25-5","222","7.4"
"66","Kansas St.","30","23-7","221","7.4"
"","Providence","30","16-14","221","7.4"
"","American","30","15-15","221","7.4"
"69","Purdue Fort Wayne","31","17-14","228","7.4"
"","Alabama A&M","31","5-26","228","7.4"
"71","UMKC","30","10-20","220","7.3"
"72","Holy Cross","33","16-17","241","7.3"
"73","Tennessee St.","30","9-21","219","7.3"
"74","Tennessee Tech","31","8-23","226","7.3"
"","Florida A&M","31","12-19","226","7.3"
"76","Rhode Island","29","15-14","211","7.3"
"77","Florida St.","30","24-6","218","7.3"
"78","Loyola Marymount","31","20-11","224","7.2"
"79","Samford","32","17-15","231","7.2"
"","Robert Morris","32","17-15","231","7.2"
"81","Louisiana","30","18-12","216","7.2"
"","Texas Tech","30","25-5","216","7.2"
"","Iowa St.","30","20-10","216","7.2"
"","TCU","30","18-12","216","7.2"
"85","UT Martin","31","12-19","223","7.2"
"86","California","30","8-22","215","7.2"
"87","Nebraska","30","15-15","212","7.1"
"88","Seton Hall","29","17-12","204","7.0"
"89","Georgia Tech","31","14-17","217","7.0"
"90","Gardner-Webb","33","22-11","230","7.0"
"91","IUPUI","32","16-16","223","7.0"
"92","Western Ky.","31","18-13","216","7.0"
"","LIU Brooklyn","31","16-15","216","7.0"
"","Kent St.","31","22-9","216","7.0"
"95","Fresno St.","29","21-8","202","7.0"
"96","Saint Francis (PA)","30","17-13","208","6.9"
"","Wofford","30","26-4","208","6.9"
"98","Missouri St.","32","16-16","221","6.9"
"","Manhattan","32","11-21","221","6.9"
"100","Hartford","31","17-14","214","6.9"
"101","Pittsburgh","30","12-18","207","6.9"
"","Belmont","30","26-4","207","6.9"
"103","Delaware St.","29","5-24","200","6.9"
"104","Southern U.","30","6-24","206","6.9"
"","Texas St.","30","23-7","206","6.9"
"106","FGCU","32","14-18","219","6.8"
"","Monmouth","32","12-20","219","6.8"
"108","Bowling Green","31","20-11","211","6.8"
"","VMI","31","11-20","211","6.8"
"110","UTSA","30","17-13","204","6.8"
"","Kansas","30","22-8","204","6.8"
"112","Stetson","31","7-24","210","6.8"
"113","Iona","30","15-15","203","6.8"
"114","Ball St.","31","15-16","209","6.7"
"115","Miami (FL)","30","13-17","202","6.7"
"","Virginia Tech","30","23-7","202","6.7"
"117","New Mexico","29","13-16","195","6.7"
"118","Ark.-Pine Bluff","30","12-18","201","6.7"
"","Southeastern La.","30","16-14","201","6.7"
"","The Citadel","30","12-18","201","6.7"
"","Creighton","30","17-13","201","6.7"
"122","N.C. A&T","29","17-12","194","6.7"
"123","Indiana St.","31","15-16","207","6.7"
"124","Nicholls St.","30","13-17","200","6.7"
"125","Pepperdine","32","15-17","213","6.7"
"","Jacksonville","32","12-20","213","6.7"
"127","Houston","30","28-2","199","6.6"
"128","Southern Ill.","32","17-15","212","6.6"
"129","Rutgers","29","14-15","192","6.6"
"","Penn","29","18-11","192","6.6"
"131","Col. of Charleston","31","23-8","205","6.6"
"132","Cincinnati","30","25-5","198","6.6"
"133","CSU Bakersfield","29","16-13","191","6.6"
"134","North Texas","30","20-10","197","6.6"
"","Purdue","30","22-8","197","6.6"
"","Ohio","30","14-16","197","6.6"
"","Mercer","30","11-19","197","6.6"
"138","UIC","32","16-16","210","6.6"
"","Youngstown St.","32","12-20","210","6.6"
"140","Campbell","32","20-12","209","6.5"
"141","Fairfield","31","9-22","202","6.5"
"","Hofstra","31","25-6","202","6.5"
"143","Liberty","33","27-6","215","6.5"
"144","Alabama St.","28","11-17","182","6.5"
"145","Coastal Caro.","29","15-14","188","6.5"
"","SFA","29","14-15","188","6.5"
"147","USC Upstate","32","6-26","207","6.5"
"148","UT Arlington","30","15-15","194","6.5"
"","Indiana","30","16-14","194","6.5"
"150","N.C. Central","29","15-14","187","6.4"
"","Texas A&M","29","13-16","187","6.4"
"152","UAB","30","17-13","193","6.4"
"","Jackson St.","30","12-18","193","6.4"
"","Clemson","30","18-12","193","6.4"
"","Nevada","30","27-3","193","6.4"
"156","DePaul","28","15-13","180","6.4"
"157","North Florida","33","16-17","212","6.4"
"158","CSUN","31","13-18","199","6.4"
"159","Iowa","30","21-9","192","6.4"
"160","NJIT","33","21-12","211","6.4"
"161","SIUE","31","10-21","198","6.4"
"162","Grand Canyon","29","18-11","185","6.4"
"163","Montana","30","22-8","191","6.4"
"","George Mason","30","16-14","191","6.4"
"165","UC Davis","29","11-18","184","6.3"
"","Northern Ariz.","29","9-20","184","6.3"
"167","Loyola Chicago","32","20-12","203","6.3"
"168","A&M-Corpus Christi","30","13-17","190","6.3"
"169","BYU","31","19-12","196","6.3"
"","Canisius","31","15-16","196","6.3"
"","UNC Asheville","31","4-27","196","6.3"
"172","Utah St.","31","25-6","195","6.3"
"173","UConn","30","14-16","188","6.3"
"","West Virginia","30","12-18","188","6.3"
"175","James Madison","31","13-18","194","6.3"
"","Hampton","31","15-16","194","6.3"
"177","Eastern Ill.","32","14-18","200","6.3"
"","Long Beach St.","32","14-18","200","6.3"
"179","Arizona St.","29","20-9","181","6.2"
"180","Northeastern","30","20-10","187","6.2"
"181","Princeton","26","16-10","162","6.2"
"182","Albany (NY)","31","12-19","193","6.2"
"","South Dakota St.","31","24-7","193","6.2"
"184","Wright St.","32","20-12","199","6.2"
"","Northern Ky.","32","24-8","199","6.2"
"","Pacific","32","14-18","199","6.2"
"187","Baylor","30","19-11","186","6.2"
"","South Carolina","30","15-15","186","6.2"
