 


  
  

NCAA Men's Basketball
Division IWon-Lost Percentage
Through Games 03/08/2019


"Rank","Name","W","L","Pct"
"1","Gonzaga","29","2","93.5"
"2","Houston","28","2","93.3"
"3","Virginia","27","2","93.1"
"4","Buffalo","28","3","90.3"
"5","Tennessee","27","3","90.0"
"","Nevada","27","3","90.0"
"7","Belmont","26","4","86.7"
"","Wofford","26","4","86.7"
"","Duke","26","4","86.7"
"","Murray St.","26","4","86.7"
"","Michigan","26","4","86.7"
"","New Mexico St.","26","4","86.7"
"13","UC Irvine","26","5","83.9"
"","UNC Greensboro","26","5","83.9"
"15","Kentucky","25","5","83.3"
"","Cincinnati","25","5","83.3"
"","North Carolina","25","5","83.3"
"","Texas Tech","25","5","83.3"
"","LSU","25","5","83.3"
"20","Liberty","27","6","81.8"
"21","VCU","25","6","80.6"
"","Lipscomb","25","6","80.6"
"","Hofstra","25","6","80.6"
"","Toledo","25","6","80.6"
"","Utah St.","25","6","80.6"
"26","Florida St.","24","6","80.0"
"","Furman","24","6","80.0"
"","Vermont","24","6","80.0"
"","Abilene Christian","24","6","80.0"
"","Michigan St.","24","6","80.0"
"","Washington","24","6","80.0"
"32","UCF","23","6","79.3"
"33","South Dakota St.","24","7","77.4"
"","Stony Brook","24","7","77.4"
"35","Texas St.","23","7","76.7"
"","Old Dominion","23","7","76.7"
"","Kansas St.","23","7","76.7"
"","Virginia Tech","23","7","76.7"
"","Marquette","23","7","76.7"
"40","Drake","24","8","75.0"
"","Northern Ky.","24","8","75.0"
"42","Col. of Charleston","23","8","74.2"
"","ETSU","23","8","74.2"
"44","Utah Valley","22","8","73.3"
"","Temple","22","8","73.3"
"","Purdue","22","8","73.3"
"","Kansas","22","8","73.3"
"","Montana","22","8","73.3"
"","Villanova","22","8","73.3"
"","Davidson","22","8","73.3"
"51","Yale","19","7","73.1"
"52","Jacksonville St.","24","9","72.7"
"53","Fresno St.","21","8","72.4"
"54","Kent St.","22","9","71.0"
"","Maryland","22","9","71.0"
"56","Mississippi St.","21","9","70.0"
"","Auburn","21","9","70.0"
"","Iowa","21","9","70.0"
"","Georgia St.","21","9","70.0"
"","Northern Colo.","21","9","70.0"
"","San Francisco","21","9","70.0"
"","Wisconsin","21","9","70.0"
"63","UC Santa Barbara","20","9","69.0"
"","Arizona St.","20","9","69.0"
"65","Radford","22","10","68.8"
"","Colgate","22","10","68.8"
"67","Central Mich.","21","10","67.7"
"68","Gardner-Webb","22","11","66.7"
"","Austin Peay","22","11","66.7"
"","North Texas","20","10","66.7"
"","Northeastern","20","10","66.7"
"","NC State","20","10","66.7"
"","Lehigh","20","10","66.7"
"","Iowa St.","20","10","66.7"
"","Ga. Southern","20","10","66.7"
"","St. John's (NY)","20","10","66.7"
"","Sam Houston St.","20","10","66.7"
"","Dayton","20","10","66.7"
"79","Brown","19","10","65.5"
"","Omaha","19","10","65.5"
"81","Saint Mary's (CA)","20","11","64.5"
"","Bowling Green","20","11","64.5"
"","Bucknell","20","11","64.5"
"","Loyola Marymount","20","11","64.5"
"85","NJIT","21","12","63.6"
"86","Syracuse","19","11","63.3"
"","South Fla.","19","11","63.3"
"","San Diego St.","19","11","63.3"
"","Saint Louis","19","11","63.3"
"","Baylor","19","11","63.3"
"","Ole Miss","19","11","63.3"
"","Duquesne","19","11","63.3"
"","Louisville","19","11","63.3"
"","Texas Southern","19","11","63.3"
"","Oklahoma","19","11","63.3"
"96","Wright St.","20","12","62.5"
"","Campbell","20","12","62.5"
"","Loyola Chicago","20","12","62.5"
"99","Colorado","18","11","62.1"
"","Grand Canyon","18","11","62.1"
"","Penn","18","11","62.1"
"","Southern Miss.","18","11","62.1"
"103","Harvard","16","10","61.5"
"","Princeton","16","10","61.5"
"105","BYU","19","12","61.3"
"","Louisiana Tech","19","12","61.3"
"","Minnesota","19","12","61.3"
"","Norfolk St.","19","12","61.3"
"","UMBC","19","12","61.3"
"110","San Diego","20","13","60.6"
"111","TCU","18","12","60.0"
"","Louisiana","18","12","60.0"
"","Prairie View","18","12","60.0"
"","Oregon","18","12","60.0"
"","Clemson","18","12","60.0"
"","Memphis","18","12","60.0"
"","Winthrop","18","12","60.0"
"","Lamar University","18","12","60.0"
"","Georgetown","18","12","60.0"
"","FIU","18","12","60.0"
"","Tulsa","18","12","60.0"
"","Ohio St.","18","12","60.0"
"123","Seton Hall","17","12","58.6"
"","Oregon St.","17","12","58.6"
"","N.C. A&T","17","12","58.6"
"","New Orleans","17","12","58.6"
"","Hawaii","17","12","58.6"
"128","Western Ky.","18","13","58.1"
"","Fairleigh Dickinson","18","13","58.1"
"130","Seattle U","17","13","56.7"
"","UTSA","17","13","56.7"
"","Saint Francis (PA)","17","13","56.7"
"","Marshall","17","13","56.7"
"","Weber St.","17","13","56.7"
"","UAB","17","13","56.7"
"","Fla. Atlantic","17","13","56.7"
"","Florida","17","13","56.7"
"","Creighton","17","13","56.7"
"","Arizona","17","13","56.7"
"","Alabama","17","13","56.7"
"141","Bradley","18","14","56.3"
"142","Utah","16","13","55.2"
"","CSU Bakersfield","16","13","55.2"
"","UNLV","16","13","55.2"
"","Wichita St.","16","13","55.2"
"","Quinnipiac","16","13","55.2"
"147","Purdue Fort Wayne","17","14","54.8"
"","Hartford","17","14","54.8"
"149","UTRGV","18","15","54.5"
"","Presbyterian","18","15","54.5"
"151","DePaul","15","13","53.6"
"152","Arkansas","16","14","53.3"
"","Southeastern La.","16","14","53.3"
"","UCLA","16","14","53.3"
"","Texas","16","14","53.3"
"","Butler","16","14","53.3"
"","George Mason","16","14","53.3"
"","Indiana","16","14","53.3"
"","Xavier","16","14","53.3"
"","Providence","16","14","53.3"
"","Rider","16","14","53.3"
"162","Charleston So.","17","15","53.1"
"","Southern Ill.","17","15","53.1"
"","Green Bay","17","15","53.1"
"","Robert Morris","17","15","53.1"
"","St. Francis Brooklyn","17","15","53.1"
"","Samford","17","15","53.1"
"168","Rhode Island","15","14","51.7"
"","N.C. Central","15","14","51.7"
"","Coastal Caro.","15","14","51.7"
"","La.-Monroe","15","14","51.7"
"172","Howard","16","15","51.6"
"","High Point","16","15","51.6"
"","LIU Brooklyn","16","15","51.6"
"","Akron","16","15","51.6"
"","Santa Clara","16","15","51.6"
"","Siena","16","15","51.6"
"","Delaware","16","15","51.6"
"179","Illinois St.","17","16","51.5"
"180","UIC","16","16","50.0"
"","Oakland","16","16","50.0"
"","IUPUI","16","16","50.0"
"","Missouri St.","16","16","50.0"
"","St. Bonaventure","15","15","50.0"
"","American","15","15","50.0"
"","North Dakota St.","15","15","50.0"
"","Nebraska","15","15","50.0"
"","Iona","15","15","50.0"
"","South Carolina","15","15","50.0"
"","Southern California","15","15","50.0"
"","Stanford","15","15","50.0"
"","UT Arlington","15","15","50.0"
"","Portland St.","15","15","50.0"
"","Grambling","15","15","50.0"
"","Sacramento St.","14","14","50.0"
"196","Holy Cross","16","17","48.5"
"","North Florida","16","17","48.5"
"198","Ball St.","15","16","48.4"
"","Hampton","15","16","48.4"
"","Eastern Mich.","15","16","48.4"
"","Indiana St.","15","16","48.4"
"","UMass Lowell","15","16","48.4"
"","Miami (OH)","15","16","48.4"
"","Canisius","15","16","48.4"
"","Northern Ill.","15","16","48.4"
"206","Boston College","14","15","48.3"
"","Cal St. Fullerton","14","15","48.3"
"","Cornell","14","15","48.3"
"","Missouri","14","15","48.3"
"","Montana St.","14","15","48.3"
"","Rutgers","14","15","48.3"
"","SFA","14","15","48.3"
"","Southern Utah","14","15","48.3"
"214","UNI","15","17","46.9"
"","Longwood","15","17","46.9"
"","Pepperdine","15","17","46.9"
"","Sacred Heart","15","17","46.9"
"218","Bethune-Cookman","14","16","46.7"
"","Ohio","14","16","46.7"
"","UConn","14","16","46.7"
"","William & Mary","14","16","46.7"
"","South Alabama","14","16","46.7"
"223","Valparaiso","15","18","45.5"
"","Boston U.","15","18","45.5"
"225","Georgia Tech","14","17","45.2"
"226","Texas A&M","13","16","44.8"
"","SMU","13","16","44.8"
"","Air Force","13","16","44.8"
"","New Mexico","13","16","44.8"
"","South Dakota","13","16","44.8"
"231","Long Beach St.","14","18","43.8"
"","Eastern Ill.","14","18","43.8"
"","Pacific","14","18","43.8"
"","FGCU","14","18","43.8"
"235","Arkansas St.","13","17","43.3"
"","Nicholls St.","13","17","43.3"
"","Miami (FL)","13","17","43.3"
"","Wagner","13","17","43.3"
"","Eastern Wash.","13","17","43.3"
"","Notre Dame","13","17","43.3"
"","Penn St.","13","17","43.3"
"","Rice","13","17","43.3"
"","A&M-Corpus Christi","13","17","43.3"
"","Northwestern","13","17","43.3"
"245","Houston Baptist","12","16","42.9"
"246","Saint Joseph's","13","18","41.9"
"","CSUN","13","18","41.9"
"","James Madison","13","18","41.9"
"","Eastern Ky.","13","18","41.9"
"","Drexel","13","18","41.9"
"251","North Dakota","12","17","41.4"
"252","Army West Point","13","19","40.6"
"","Niagara","13","19","40.6"
"254","Richmond","12","18","40.0"
"","Pittsburgh","12","18","40.0"
"","Ark.-Pine Bluff","12","18","40.0"
"","Navy","12","18","40.0"
"","West Virginia","12","18","40.0"
"","Jackson St.","12","18","40.0"
"","Fordham","12","18","40.0"
"","Colorado St.","12","18","40.0"
"","The Citadel","12","18","40.0"
"","Central Ark.","12","18","40.0"
"264","Morehead St.","13","20","39.4"
"265","Alabama St.","11","17","39.3"
"266","UT Martin","12","19","38.7"
"","Chattanooga","12","19","38.7"
"","Albany (NY)","12","19","38.7"
"","Florida A&M","12","19","38.7"
"","Marist","12","19","38.7"
"271","Troy","11","18","37.9"
"","Wake Forest","11","18","37.9"
"","Dartmouth","11","18","37.9"
"","UC Davis","11","18","37.9"
"275","Jacksonville","12","20","37.5"
"","Youngstown St.","12","20","37.5"
"","Monmouth","12","20","37.5"
"278","Columbia","10","17","37.0"
"279","Savannah St.","11","19","36.7"
"","Oklahoma St.","11","19","36.7"
